canceledBurstTime,noncanceledBurstTime,nostopBurstTime,canceledBurstOnset,noncanceledBurstOnset,nostopBurstOnset,canceledBurstOffset,noncanceledBurstOffset,nostopBurstOffset,canceledBurstDuration,noncanceledBurstDuration,nostopBurstDuration,canceledBurstVolume,noncanceledBurstVolume,nostopBurstVolume,canceledBurstFreq,noncanceledBurstFreq,nostopBurstFreq,monkeyLabel
109.528301886792,108.588235294118,110.976,-243.792452830189,-198.294117647059,-208.304,177.094339622642,173.21568627451,183.32,420.88679245283,371.509803921569,391.624,34221714915.7566,31273290905.3216,38627934463.6637,18.4339622641509,19.5294117647059,18.808,Euler
109.951219512195,105.571428571429,125.161616161616,-130.951219512195,-149.696428571429,-188.626262626263,141.756097560976,155.160714285714,150.313131313131,272.707317073171,304.857142857143,338.939393939394,16849352414.2219,25276557561.7569,23680790920.0019,21.7560975609756,22.3392857142857,21.6262626262626,Euler
92.2682926829268,101.46511627907,115.817307692308,-150.658536585366,-161.674418604651,-148.721153846154,147.926829268293,145.674418604651,150.394230769231,298.585365853659,307.348837209302,299.115384615385,22433181408.5148,22177873448.091,20790491323.203,22.390243902439,22.5581395348837,21.6923076923077,Euler
110.936170212766,137.095238095238,130.540740740741,-159.553191489362,-142.357142857143,-161.325925925926,147.893617021277,150.690476190476,159.511111111111,307.446808510638,293.047619047619,320.837037037037,68214509143.211,60645486147.8181,71098131950.6596,23.531914893617,20.8095238095238,22.3851851851852,Euler
137.45652173913,124.659574468085,129.664473684211,-146.478260869565,-136.765957446808,-155.092105263158,149.891304347826,157.297872340426,145.026315789474,296.369565217391,294.063829787234,300.118421052632,287405276673.649,270319409949.342,276807462556.987,24.2173913043478,23.4893617021277,24.3092105263158,Euler
117.44,139.130434782609,95.5555555555556,-125,-120.347826086957,-136.402777777778,134.16,134.434782608696,130.222222222222,259.16,254.782608695652,266.625,201010417015.201,234230029268.481,237948937872.054,27.2,24.8260869565217,25.6388888888889,Euler
150.52,71.3461538461538,110.976744186047,-142.68,-136.730769230769,-149.558139534884,144.68,129.461538461538,101.813953488372,287.36,266.192307692308,251.372093023256,255603154169.728,256835471045.831,213176792826.47,25.44,24.9230769230769,25.6976744186047,Euler
117.161290322581,101.1875,107.111111111111,-124.064516129032,-119.40625,-139.925925925926,141.838709677419,105.3125,136.111111111111,265.903225806452,224.71875,276.037037037037,403496170269.678,300102957072.801,396879224303.193,23.9032258064516,24.28125,25.0925925925926,Euler
138.090909090909,92.3947368421053,97.9054054054054,-163.393939393939,-153.289473684211,-150.662162162162,180.878787878788,133.473684210526,134.337837837838,344.272727272727,286.763157894737,285,608886771969.986,454334196932.713,470676813274.916,22.1212121212121,22.9473684210526,23.8783783783784,Euler
127.121951219512,74.2941176470588,99.9176470588235,-153.341463414634,-159.117647058824,-146.4,154.926829268293,129.970588235294,147.047058823529,308.268292682927,289.088235294118,293.447058823529,525197474148.466,524765287523.586,525144198396.867,23.609756097561,21.8823529411765,22.4705882352941,Euler
100.933333333333,73.625,108.15,-172.466666666667,-156.225,-142.25,138.166666666667,138.975,133.8625,310.633333333333,295.2,276.1125,534265505711.41,519340830575.101,452605652940.161,21.6666666666667,22,21.85,Euler
94.3529411764706,87.1875,117.596774193548,-167.294117647059,-164.270833333333,-163.741935483871,152.941176470588,137.166666666667,159.661290322581,320.235294117647,301.4375,323.403225806452,402191380417.35,446185387357.041,452110864433.012,20.6470588235294,21.7291666666667,21.5161290322581,Euler
105.730769230769,89.6875,113.75,-140.192307692308,-182.40625,-159.857142857143,127.307692307692,128.6875,161.428571428571,267.5,311.09375,321.285714285714,436625912796.299,487922944760.204,587304696497.506,22.3076923076923,20.84375,21.2142857142857,Euler
89,99.1785714285714,98.3620689655172,-158.105263157895,-162.392857142857,-163.534482758621,142.368421052632,127.321428571429,149.068965517241,300.473684210526,289.714285714286,312.603448275862,465026808608.963,526616990803.247,568563638884.948,22.0526315789474,19.9285714285714,19.8965517241379,Euler
72.1333333333333,97.2333333333333,89.7096774193548,-147.533333333333,-170.966666666667,-161.548387096774,149.3,128.033333333333,152.838709677419,296.833333333333,299,314.387096774194,461398043196.885,549171360282.049,560471788655.485,19.9666666666667,20.2333333333333,20.4354838709677,Euler
