canceledBurstTime,noncanceledBurstTime,nostopBurstTime,canceledBurstOnset,noncanceledBurstOnset,nostopBurstOnset,canceledBurstOffset,noncanceledBurstOffset,nostopBurstOffset,canceledBurstDuration,noncanceledBurstDuration,nostopBurstDuration,canceledBurstVolume,noncanceledBurstVolume,nostopBurstVolume,canceledBurstFreq,noncanceledBurstFreq,nostopBurstFreq,canceledpBurst,noncanceledpBurst,nostoppBurst,monkeyLabel
-299.446506118057,-296.952716941595,-298.933034845541,-208.036111159344,-191.895080268981,-222.121888915537,202.745026723446,191.362368754173,247.939998913543,410.781137882789,383.257449023154,470.061887829081,669507442832.275,509076240117.847,521573939711.678,20.6363842421098,19.1895059612763,19.4584311287941,0.187272727272727,0.183333333333333,0.165647482014388,Xena
-300.876860239273,-290.664676414801,-299.850656056518,-198.960770750602,-190.879386370784,-168.807667704514,183.547872096181,210.417191655135,199.6334819754,382.508642846782,401.296578025919,368.441149679913,130813257061.137,148348405951.919,245673434104.657,20.6654954141062,20.9264454018971,20.5467802137694,0.30301724137931,0.349253731343284,0.300721153846154,Xena
-293.275730831291,-296.133204626664,-290.302020651107,-183.481355159756,-213.728089276168,-168.809897316007,181.938851532049,179.351622193978,216.371709394782,365.420206691806,393.079711470146,385.181606710789,214604168180.188,230464069734.23,207656697295.708,21.4448210345703,20.6217835270392,20.5917424196564,0.276515151515152,0.253,0.212173913043478,Xena
-287.940417612333,-317.013287366229,-297.906995808781,-164.86810891421,-164.840346010199,-186.598094402411,139.56847005703,175.824351791999,144.130806587936,304.43657897124,340.664697802198,330.728900990347,246447947207.29,285111040612.051,235503519000.801,23.1305886257284,23.0873976513682,21.9481275781221,0.174291938997821,0.162464985994398,0.153144016227181,Euler
-288.100964605392,-295.24615486093,-306.042627450785,-142.683895907316,-135.299104285443,-151.969124497439,134.346673541927,179.836897731335,156.167556524483,277.030569449243,315.136002016778,308.136681021921,188412523608.791,286013907795.965,241034071215.411,24.6519634331371,24.7877647150196,23.6954167124727,0.214117647058824,0.302113078241005,0.247348119575699,Euler
-280.227313470748,-305.916733806587,-300.318028052576,-159.2793611365,-146.567825891018,-160.126005483374,142.609373991942,169.609381404424,145.132555853708,301.888735128443,316.177207295442,305.258561337082,180848065615.152,223908583710.439,243311276035.444,22.5278246797546,23.1442239382751,23.6965009655778,0.203019260801666,0.269662921348315,0.206873760740251,Euler
-284.811525866266,-293.655782898949,-308.258373233884,-151.309901462939,-147.641280468068,-141.655177584641,140.763528091806,158.140954570158,146.581763701742,292.073429554746,305.782235038225,288.236941286384,212466328036.949,242540163933.36,189264724285.961,23.7499838314363,24.1488155640469,23.5820975398455,0.217342342342342,0.303006329113924,0.191780821917808,Euler
-315.912674825175,-306.518789788643,-300.588436417384,-145.4150896618,-183.975025219878,-148.904667457299,139.335078517973,166.313599390805,128.106364395838,284.750168179773,350.288624610683,277.011031853137,225338435858.03,242512681143.489,186246165547.079,23.7433029689609,24.3465742590743,23.8745462140199,0.161387631975867,0.266272189349112,0.112701252236136,Euler
-305.570264481596,-301.10568494732,-299.372915551268,-156.054777404822,-162.534561542477,-152.222730153929,154.254848335663,147.535776774625,138.470789593797,310.309625740485,310.070338317102,290.693519747726,243229805340.191,253576497805.927,204175716169.293,24.337927946804,24.5049204864526,24.3555254719928,0.257499026100506,0.245002855511136,0.192756441419543,Euler
-297.050849975677,-297.927508760729,-300.679369694717,-169.845130982689,-154.805724521465,-167.295663540286,155.985448074071,167.771142574413,152.983036040589,325.83057905676,322.576867095879,320.278699580875,212516100679.372,217711143090.741,208387737405.575,22.839445993075,23.3374786193552,23.069041980855,0.229047619047619,0.220098039215686,0.162606837606838,Xena
-299.212037314388,-298.049393171588,-299.522830579428,-172.016590537849,-158.991780621757,-158.931441440088,179.560268281083,161.392017174029,157.18719171189,351.576858818933,320.383797795786,316.118633151978,199616664491.922,200568352813.688,177204604395.813,22.4876330140087,22.7803388591591,23.5876358813477,0.203839869281046,0.225063938618926,0.196594427244582,Xena
-292.390615140989,-295.197712085141,-300.190143476119,-160.750450795799,-166.481746564859,-158.350303073753,154.907766544239,169.124779564337,151.426999148687,315.658217340039,335.606526129195,309.777302222439,184984223436.987,230832707759.945,194411028086.788,23.1145840038041,24.5912085939282,23.346851765953,0.166528583264292,0.21032585696149,0.168214654282766,Xena
-299.008567758334,-294.552705242946,-300.738019954911,-167.069634591799,-147.276637832508,-164.58036908721,157.03831211801,154.144508509393,150.002086484457,324.107946709809,301.421146341902,314.582455571667,233860127228.313,214892655553.634,200235381565.379,23.4991754337539,23.977878855119,23.9888589793229,0.217244294167371,0.180032733224223,0.182648401826484,Xena
-303.72171781728,-295.419710391873,-306.222800546909,-187.34500412094,-198.539883355319,-175.467218637516,168.512773465466,173.36116678369,162.348063888753,355.857777586406,371.901050139009,337.815282526269,257267680106.953,280729704454.259,251247997768.936,22.2991185424912,22.3879308591454,22.4547903263986,0.199519230769231,0.205955334987593,0.170092838196286,Xena
-316.054064425981,-283.984969760513,-305.352825166494,-220.946765000082,-127.707995084626,-160.320201027029,161.545331402356,139.738855427986,171.610061930464,382.492096402438,267.446850512611,331.930262957493,404554240252.862,195390976148.638,198065690322.379,21.0376680091542,24.5970962813354,21.8300522503209,0.205649717514124,0.195402298850575,0.226543209876543,Xena
-278.29494223725,-293.912993960926,-312.988546857642,-168.321344040575,-230.375689995051,-163.422004910583,165.220587959049,165.287040027642,160.891686427342,333.541931999624,395.662730022692,324.313691337925,270712878183.414,271236486662.1,228753118009.66,23.2038931154316,22.5637450477676,22.3251116745389,0.214285714285714,0.264880952380952,0.272135416666667,Xena
-281.949137618235,-315.706353324905,-303.748404025742,-150.011548604684,-201.582409395532,-154.939208849318,175.738652601579,163.618021119152,184.485306419225,325.750201206263,365.200430514684,339.424515268543,170416441610.52,187711623385.151,182019670822.361,23.39083926757,22.1287993554962,22.7489959908836,0.175,0.20872641509434,0.193426724137931,Xena
-315.554977463013,-287.495892435922,-293.920196967475,-173.844917285096,-144.638252142962,-162.548533998845,147.874509419152,175.485020982077,197.427112182569,321.719426704248,320.123273125039,359.975646181413,150444971662.537,138502023246.462,171037666691.376,23.8329111364826,23.2589102746362,23.2548307461613,0.120048019207683,0.174509803921569,0.180035650623886,Xena
-310.711998604714,-287.557650376635,-308.920460531929,-172.635710327882,-157.594934092017,-164.540483691355,174.974348667923,167.690390194409,148.059407508038,347.610058995806,325.285324286426,312.599891199393,150201239878.467,166669806101.659,127677097230.422,21.6363197268627,23.1420720794392,22.5674695995968,0.178006329113924,0.181327160493827,0.164963942307692,Xena
