channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
10,16,eulsef20120912c-01,AD26,1,1,p1,1,3,0,Euler,0.283387622149837,0.107491856677524,0.374592833876221,0.368078175895765,0.630872483221476,L2,Upper
11,16,eulsef20120912c-01,AD27,1,1,p1,1,4,0,Euler,0.39413680781759,0.159609120521173,0.456026058631922,0.452768729641694,0.704697986577181,L2,Upper
12,16,eulsef20120912c-01,AD28,1,1,p1,1,5,0,Euler,0.374592833876221,0.120521172638436,0.390879478827362,0.433224755700326,0.677852348993289,L3,Upper
13,16,eulsef20120912c-01,AD29,1,1,p1,1,6,0,Euler,0.315960912052117,0.0977198697068404,0.315960912052117,0.342019543973941,0.610738255033557,L3,Upper
14,16,eulsef20120912c-01,AD30,1,1,p1,1,7,0,Euler,0.289902280130293,0.0977198697068404,0.289902280130293,0.312703583061889,0.550335570469799,L3,Upper
15,16,eulsef20120912c-01,AD31,1,1,p1,1,8,0,Euler,0.257328990228013,0.0846905537459283,0.270358306188925,0.263843648208469,0.536912751677852,L3,Upper
16,16,eulsef20120912c-01,AD32,1,1,p1,1,9,0,Euler,0.208469055374593,0.0879478827361563,0.267100977198697,0.247557003257329,0.536912751677852,L5,Lower
17,16,eulsef20120912c-01,AD33,1,1,p1,1,10,0,Euler,0.208469055374593,0.0521172638436482,0.224755700325733,0.221498371335505,0.543624161073825,L5,Lower
18,16,eulsef20120912c-01,AD34,1,1,p1,1,11,0,Euler,0.205211726384365,0.0651465798045603,0.195439739413681,0.244299674267101,0.442953020134228,L5,Lower
19,16,eulsef20120912c-01,AD35,1,1,p1,1,12,0,Euler,0.169381107491857,0.0488599348534202,0.123778501628664,0.146579804560261,0.409395973154362,L5,Lower
20,16,eulsef20120912c-01,AD36,1,1,p1,1,13,0,Euler,0.0781758957654723,0.0293159609120521,0.0651465798045603,0.11400651465798,0.275167785234899,L6,Lower
21,16,eulsef20120912c-01,AD37,1,1,p1,1,14,0,Euler,0.0684039087947883,0.0195439739413681,0.0618892508143322,0.0944625407166124,0.261744966442953,L6,Lower
