session,monkey,baseline_canceled,baseline_noncanc,baseline_nostop,ssd_canceled,ssd_noncanc,ssd_nostop
1,Euler,0,0,0,0,0,0
1,Euler,0,0,0,0,0,0
1,Euler,0,0,0,0,0,0
1,Euler,0,0,0,0,0,0
1,Euler,0.0622222222222222,0.110047846889952,0.0998003992015968,0.0444444444444444,0.0478468899521531,0.0858283433133733
1,Euler,0.0977777777777778,0.119617224880383,0.117764471057884,0.0222222222222222,0.0382775119617225,0.0439121756487026
1,Euler,0.173333333333333,0.129186602870813,0.145708582834331,0.04,0.0287081339712919,0.0259481037924152
1,Euler,0.191111111111111,0.239234449760766,0.221556886227545,0.0844444444444444,0.076555023923445,0.0958083832335329
1,Euler,0.257777777777778,0.244019138755981,0.261477045908184,0.173333333333333,0.129186602870813,0.135728542914172
1,Euler,0.248888888888889,0.205741626794258,0.227544910179641,0.177777777777778,0.0813397129186603,0.137724550898204
1,Euler,0.244444444444444,0.248803827751196,0.233532934131737,0.173333333333333,0.138755980861244,0.167664670658683
1,Euler,0.244444444444444,0.167464114832536,0.215568862275449,0.164444444444444,0.110047846889952,0.155688622754491
1,Euler,0.32,0.277511961722488,0.285429141716567,0.186666666666667,0.205741626794258,0.221556886227545
1,Euler,0.266666666666667,0.291866028708134,0.307385229540918,0.2,0.196172248803828,0.215568862275449
1,Euler,0.302222222222222,0.215311004784689,0.277445109780439,0.173333333333333,0.15311004784689,0.171656686626747
1,Euler,0.213333333333333,0.162679425837321,0.177644710578842,0.133333333333333,0.110047846889952,0.145708582834331
1,Euler,0.182222222222222,0.157894736842105,0.181636726546906,0.151111111111111,0.119617224880383,0.145708582834331
1,Euler,0.182222222222222,0.15311004784689,0.151696606786427,0.155555555555556,0.0813397129186603,0.0958083832335329
1,Euler,0.12,0.110047846889952,0.105788423153693,0.142222222222222,0.076555023923445,0.0798403193612774
1,Euler,0.102222222222222,0.100478468899522,0.111776447105788,0.115555555555556,0.0526315789473684,0.0738522954091816
2,Euler,0.0343137254901961,0.041958041958042,0.0468384074941452,0.0147058823529412,0.041958041958042,0.0187353629976581
2,Euler,0.0931372549019608,0.0699300699300699,0.105386416861827,0.0147058823529412,0.00699300699300699,0.0210772833723653
2,Euler,0.147058823529412,0.174825174825175,0.199063231850117,0.0833333333333333,0.0559440559440559,0.0679156908665105
2,Euler,0.196078431372549,0.181818181818182,0.194379391100703,0.156862745098039,0.0979020979020979,0.11943793911007
2,Euler,0.191176470588235,0.160839160839161,0.173302107728337,0.186274509803922,0.0839160839160839,0.135831381733021
2,Euler,0.166666666666667,0.153846153846154,0.175644028103044,0.225490196078431,0.0839160839160839,0.133489461358314
