TrialType,mean_burstTime,std_burstTime,sem_burstTime,mean_burstOnset,std_burstOnset,sem_burstOnset,mean_burstOffset,std_burstOffset,sem_burstOffset,mean_burstDuration,std_burstDuration,sem_burstDuration,mean_burstVolume,std_burstVolume,sem_burstVolume,mean_burstFreq,modal_burstFreq,pTrials_burst,Monkey
Canceled,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Euler
Canceled,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Euler
Canceled,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Euler
Canceled,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Euler
Canceled,57.1333333333333,51.209467130693,13.2222275576887,-162.4,133.794511952365,34.5455944403638,149.933333333333,140.964264299587,36.3968165361787,312.333333333333,194.998778994956,50.3484682385498,354655720336.801,321106692079.448,82909391385.2971,24.2,25,0.0533333333333333,Euler
Canceled,66.6,52.9745221781188,23.6909265331688,-126.4,37.8391331824607,16.92217480113,104,22.113344387496,9.88938825206089,230.4,26.3874970393177,11.8008474271978,172285319646.529,61656766528.2047,27573744245.9799,27.6,29,0.0222222222222222,Euler
Canceled,63.5555555555556,46.4384299667611,15.479476655587,-164,97.99362224145,32.66454074715,98.6666666666667,33.3991017843295,11.1330339281098,262.666666666667,94.9302375431559,31.6434125143853,242979427728.757,165372914668.095,55124304889.3651,25.4444444444444,29,0.04,Euler
Canceled,47.1142857142857,40.4814928146703,6.84262117801609,-135.171428571429,72.9675535121345,12.3337676615822,141.371428571429,71.84300109769,12.1436836100356,276.542857142857,125.292209714435,21.1782488248985,319346144233.99,265848449639.28,44936589665.1235,23.1714285714286,29,0.115555555555556,Euler
Canceled,60.6842105263158,52.1293576098155,6.90470209072155,-145.385964912281,92.1816441260648,12.2097570372428,140.561403508772,84.6952557163158,11.2181606686158,285.947368421053,140.887292980269,18.660977825167,325578558071.737,308065123784.005,40804222453.5163,22.0350877192982,29,0.208888888888889,Euler
Canceled,55.5892857142857,48.3659447379001,6.46317122845944,-131.928571428571,88.9690154732855,11.888984783558,146.035714285714,104.389300093573,13.9496069926885,277.964285714286,137.942143904374,18.4332943459727,305078128992.862,197387426670.321,26377004394.9038,23.1607142857143,29,0.213333333333333,Euler
Canceled,68.3098591549296,48.3802177841008,5.74167550855949,-153.591549295775,122.366379307015,14.5222174541157,140.281690140845,107.148519501617,12.7161897647145,293.87323943662,167.05541677432,19.8258304529693,281509158628.946,176778371505.217,20979732886.777,21.5352112676056,29,0.226666666666667,Euler
Canceled,60.6,50.6644662025884,6.54075446157044,-143.6,83.7775909522511,10.8156404847815,173.916666666667,195.611625912394,25.2533523161086,317.516666666667,209.297249624941,27.0201587401471,321042025621.159,278601955285.636,35967357768.0697,21.5666666666667,15,0.208888888888889,Euler
Canceled,74.3606557377049,49.2852353776413,6.31032776451158,-140.180327868852,104.248182749424,13.3476120579106,148.295081967213,85.1117587376141,10.8974440343655,288.475409836066,143.099919235637,18.3220671775804,303044720225.926,243178019815.882,31135754925.4855,20.7540983606557,15,0.222222222222222,Euler
Canceled,60.5531914893617,47.7852762272384,4.92867491591189,-137.712765957447,90.4651804150969,9.33077091267658,143.776595744681,83.3415248776479,8.59602194544118,281.489361702128,129.640756292384,13.3714230421023,263002864983.118,173609953438.39,17906499453.8356,21.0851063829787,15,0.284444444444444,Euler
Canceled,59.4918032786885,51.2434135445131,6.56104678735056,-142.065573770492,89.3890129065944,11.4450903128417,143.262295081967,84.04064525362,10.7603020058209,285.327868852459,126.49357313206,16.1958424353926,298354837384.442,188583498331.304,24145642733.1707,20.016393442623,15,0.222222222222222,Euler
Canceled,50.1607142857143,46.3934857440193,6.19959030829647,-136.892857142857,112.154062638113,14.987217033093,127.875,78.2199840775419,10.452585043467,264.767857142857,146.905286874531,19.6310447067941,304310310000.371,250714968397.411,33503196909.9632,20.625,15,0.186666666666667,Euler
Canceled,49.2631578947368,46.7250798041776,6.18888800870796,-139.561403508772,110.504204435827,14.6366394366983,157.070175438596,131.821017678344,17.460120325621,296.631578947368,183.579744406596,24.3157311568266,339189014508.651,342021503535.566,45301854824.4894,21.1228070175439,15,0.195555555555556,Euler
Canceled,43.1451612903226,42.8006613914707,5.43568943240893,-140.016129032258,93.4094620712596,11.8630135460695,135.129032258065,64.2422372349357,8.15877228761321,275.145161290323,121.865532825968,15.4769381458439,326065151301.318,240100608614.436,30492807786.8565,19.5322580645161,15,0.208888888888889,Euler
Canceled,44,39.8266514053361,6.46073598985311,-149.5,108.588922335817,17.6154493003742,151.947368421053,88.8210917757656,14.4086837342506,301.447368421053,148.128814900067,24.0296668635046,354020231737.223,245106304108.383,39761492980.5708,19.6315789473684,15,0.155555555555556,Euler
Canceled,45.9375,38.8570062599253,6.86901315575032,-150.34375,89.3527295736289,15.7954802497602,157.34375,113.293683272082,20.0276829268225,307.6875,162.854266437125,28.788839035713,383898706219.621,440160087048.534,77810045589.9198,20.1875,15,0.128888888888889,Euler
Canceled,49,26.4575131106459,15.2752523165195,-176.666666666667,156.844934037837,90.5544648877741,191.333333333333,131.940643220099,76.1759658801763,368,287.527389999631,166.004016015678,323703044971.549,336350093451.305,194191816996.067,22.3333333333333,19,0.0147058823529412,Euler
