monkeyLabel,noncanceled_pBurst_early,nostop_pBurst_early,noncanceled_pBurst_late,nostop_pBurst_late
Euler,0,0,0.00478468899521531,0
Euler,0,0,0,0
Euler,0,0,0,0
Euler,0,0,0.0191387559808612,0
Euler,0.110047846889952,0.0978043912175649,0.315789473684211,0.0818363273453094
Euler,0.0478468899521531,0.0738522954091816,0.440191387559809,0.0958083832335329
Euler,0.0191387559808612,0.0738522954091816,0.516746411483254,0.187624750499002
Euler,0.167464114832536,0.201596806387226,0.588516746411483,0.457085828343313
Euler,0.282296650717703,0.279441117764471,0.636363636363636,0.530938123752495
Euler,0.272727272727273,0.267465069860279,0.598086124401914,0.508982035928144
Euler,0.287081339712919,0.29940119760479,0.617224880382775,0.49500998003992
Euler,0.301435406698565,0.297405189620758,0.555023923444976,0.409181636726547
Euler,0.45933014354067,0.417165668662675,0.669856459330144,0.483033932135729
Euler,0.411483253588517,0.403193612774451,0.712918660287081,0.477045908183633
Euler,0.37799043062201,0.323353293413174,0.636363636363636,0.467065868263473
Euler,0.282296650717703,0.241516966067864,0.617224880382775,0.375249500998004
Euler,0.210526315789474,0.207584830339321,0.588516746411483,0.37125748502994
Euler,0.177033492822967,0.169660678642715,0.535885167464115,0.31936127744511
Euler,0.177033492822967,0.105788423153693,0.406698564593301,0.227544910179641
Euler,0.100478468899522,0.06187624750499,0.334928229665072,0.179640718562874
Euler,0.027972027972028,0.0608899297423888,0.447552447552448,0.0608899297423888
Euler,0.034965034965035,0.114754098360656,0.587412587412587,0.234192037470726
Euler,0.146853146853147,0.201405152224824,0.72027972027972,0.4192037470726
Euler,0.244755244755245,0.297423887587822,0.727272727272727,0.505854800936768
Euler,0.293706293706294,0.274004683840749,0.734265734265734,0.466042154566745
Euler,0.265734265734266,0.274004683840749,0.734265734265734,0.374707259953162
Euler,0.307692307692308,0.299765807962529,0.741258741258741,0.381733021077283
Euler,0.34965034965035,0.320843091334895,0.727272727272727,0.381733021077283
Euler,0.363636363636364,0.348946135831382,0.79020979020979,0.395784543325527
Euler,0.27972027972028,0.306791569086651,0.762237762237762,0.405152224824356
Euler,0.230769230769231,0.311475409836066,0.727272727272727,0.437939110070258
Euler,0.251748251748252,0.285714285714286,0.685314685314685,0.449648711943794
Euler,0.20979020979021,0.250585480093677,0.615384615384615,0.384074941451991
Euler,0.195804195804196,0.187353629976581,0.531468531468531,0.299765807962529
Euler,0.167832167832168,0.121779859484778,0.503496503496504,0.271662763466042
Euler,0.13986013986014,0.112412177985948,0.433566433566434,0.192037470725995
Euler,0.13986013986014,0.103044496487119,0.496503496503497,0.19672131147541
Euler,0.146853146853147,0.100702576112412,0.475524475524476,0.187353629976581
Euler,0.146853146853147,0.0889929742388759,0.482517482517482,0.159250585480094
Euler,0.13986013986014,0.0960187353629977,0.482517482517482,0.135831381733021
Euler,0,0,0.029585798816568,0
Euler,0,0,0.0473372781065089,0
Euler,0,0,0.0473372781065089,0
Euler,0.0177514792899408,0.0388768898488121,0.254437869822485,0.0907127429805616
Euler,0.0710059171597633,0.142548596112311,0.526627218934911,0.332613390928726
Euler,0.29585798816568,0.341252699784017,0.710059171597633,0.498920086393089
Euler,0.325443786982249,0.349892008639309,0.715976331360947,0.516198704103672
Euler,0.366863905325444,0.352051835853132,0.692307692307692,0.518358531317495
Euler,0.289940828402367,0.308855291576674,0.668639053254438,0.427645788336933
Euler,0.372781065088757,0.427645788336933,0.650887573964497,0.479481641468682
Euler,0.514792899408284,0.576673866090713,0.739644970414201,0.602591792656587
Euler,0.366863905325444,0.369330453563715,0.698224852071006,0.531317494600432
Euler,0.313609467455621,0.347732181425486,0.692307692307692,0.49244060475162
Euler,0.289940828402367,0.289416846652268,0.585798816568047,0.414686825053996
Euler,0.21301775147929,0.213822894168467,0.502958579881657,0.360691144708423
Euler,0.136094674556213,0.144708423326134,0.366863905325444,0.187904967602592
Euler,0.124260355029586,0.0885529157667387,0.272189349112426,0.123110151187905
Euler,0.0591715976331361,0.0388768898488121,0.284023668639053,0.114470842332613
Euler,0.0710059171597633,0.0345572354211663,0.254437869822485,0.0712742980561555
Euler,0.0473372781065089,0.0367170626349892,0.254437869822485,0.0734341252699784
Euler,0.122994652406417,0.13394495412844,0.508021390374332,0.255045871559633
Euler,0.262032085561497,0.352293577981651,0.679144385026738,0.526605504587156
Euler,0.411764705882353,0.438532110091743,0.711229946524064,0.63302752293578
Euler,0.417112299465241,0.445871559633028,0.786096256684492,0.622018348623853
Euler,0.385026737967914,0.431192660550459,0.737967914438503,0.592660550458716
Euler,0.411764705882353,0.455045871559633,0.716577540106952,0.530275229357798
Euler,0.363636363636364,0.444036697247706,0.775401069518717,0.528440366972477
Euler,0.449197860962567,0.467889908256881,0.780748663101604,0.581651376146789
Euler,0.336898395721925,0.388990825688073,0.732620320855615,0.521100917431193
Euler,0.283422459893048,0.322935779816514,0.679144385026738,0.499082568807339
Euler,0.20855614973262,0.267889908256881,0.609625668449198,0.405504587155963
Euler,0.18716577540107,0.16697247706422,0.497326203208556,0.321100917431193
Euler,0.149732620320856,0.0917431192660551,0.427807486631016,0.251376146788991
Euler,0.171122994652406,0.111926605504587,0.411764705882353,0.209174311926606
Euler,0.117647058823529,0.073394495412844,0.390374331550802,0.212844036697248
Euler,0.0855614973262032,0.0440366972477064,0.299465240641711,0.137614678899083
Euler,0.106951871657754,0.0477064220183486,0.320855614973262,0.132110091743119
Euler,0.053475935828877,0.0422018348623853,0.304812834224599,0.100917431192661
Euler,0.0909090909090909,0.0587155963302752,0.315508021390374,0.108256880733945
