lfpID,errorFlag,errorStart,errorEnd,errorDuration,error_pBurst,error_burstMeanTime,monkey
108,1,458,984,526,0.406417112299465,495.742857142857,Euler
109,1,481,997,516,0.443850267379679,515.466666666667,Euler
110,1,515,989,474,0.363636363636364,507.556818181818,Euler
111,1,522,1001,479,0.299465240641711,520.704225352113,Euler
112,1,500,1002,502,0.27807486631016,501.784615384615,Euler
113,1,518,1015,497,0.240641711229947,531.9,Euler
114,1,531,1001,470,0.20855614973262,525.340425531915,Euler
115,1,540,983,443,0.235294117647059,521.092592592593,Euler
116,1,540,706,166,0.267379679144385,508.825396825397,Euler
117,1,530,994,464,0.219251336898396,510.220338983051,Euler
118,1,545,680,135,0.213903743315508,512.94,Euler
119,1,541,692,151,0.213903743315508,509.040816326531,Euler
120,1,546,673,127,0.18716577540107,513.487804878049,Euler
125,1,492,985,493,0.393548387096774,518.581081081081,Euler
126,1,495,948,453,0.432258064516129,510.80612244898,Euler
127,1,471,956,485,0.458064516129032,509.707070707071,Euler
128,1,500,951,451,0.445161290322581,507.080808080808,Euler
129,1,492,992,500,0.458064516129032,498.266666666667,Euler
130,1,500,965,465,0.4,510.546511627907,Euler
131,1,494,1246,752,0.4,507.280487804878,Euler
132,1,468,1000,532,0.393548387096774,514.915662650602,Euler
133,1,468,994,526,0.367741935483871,507.10752688172,Euler
134,1,461,987,526,0.438709677419355,513.063829787234,Euler
135,1,473,974,501,0.470967741935484,511.365591397849,Euler
136,1,466,968,502,0.406451612903226,511.261904761905,Euler
137,1,465,981,516,0.348387096774194,517.140845070423,Euler
138,1,555,1006,451,0.341935483870968,484.611940298507,Euler
139,1,552,1001,449,0.361290322580645,498.605633802817,Euler
140,1,544,1027,483,0.354838709677419,506.111111111111,Euler
141,1,546,970,424,0.309677419354839,503.746268656716,Euler
142,1,541,980,439,0.341935483870968,506.328358208955,Euler
143,1,85,160,75,0.335483870967742,503.283582089552,Euler
144,1,553,1156,603,0.329032258064516,502.1875,Euler
149,1,346,409,63,0.353741496598639,447.140625,Xena
166,1,201,256,55,0.244897959183673,441.21568627451,Xena
174,1,192,259,67,0.337016574585635,481.369863013699,Xena
175,1,201,253,52,0.265193370165746,478.723076923077,Xena
221,1,316,433,117,0.345454545454545,431.611111111111,Xena
223,1,378,439,61,0.321212121212121,434.202898550725,Xena
232,1,356,439,83,0.333333333333333,440.957142857143,Xena
246,1,45,96,51,0.37378640776699,475.856,Xena
247,1,430,501,71,0.286407766990291,467.847222222222,Xena
261,1,484,539,55,0.300970873786408,464.144578313253,Xena
270,1,301,429,128,0.440758293838863,455.619469026549,Xena
271,1,247,332,85,0.350710900473934,448.236559139785,Xena
272,1,269,357,88,0.341232227488152,457.658823529412,Xena
275,1,312,413,101,0.322274881516588,434.804347826087,Xena
280,1,433,510,77,0.360189573459716,441.12,Xena
283,1,421,483,62,0.251184834123223,449.528571428571,Xena
284,1,439,506,67,0.255924170616114,449.320512820513,Xena
300,1,337,453,116,0.469879518072289,436.636363636364,Xena
318,1,583,837,254,0.410852713178295,485.524390243902,Euler
319,1,578,658,80,0.488372093023256,475.729411764706,Euler
320,1,508,590,82,0.472868217054264,482.292134831461,Euler
321,1,460,544,84,0.441860465116279,473.939759036145,Euler
322,1,445,498,53,0.418604651162791,483.876712328767,Euler
323,1,419,505,86,0.372093023255814,486.041666666667,Euler
325,1,431,497,66,0.372093023255814,466.641025641026,Euler
326,1,585,675,90,0.37984496124031,496.044776119403,Euler
328,1,388,456,68,0.333333333333333,469.238095238095,Euler
330,1,556,693,137,0.217054263565891,491.829268292683,Euler
332,1,577,689,112,0.255813953488372,503.955555555556,Euler
333,1,476,689,213,0.310077519379845,499.741379310345,Euler
334,1,486,567,81,0.286821705426357,487.038461538462,Euler
342,1,488,976,488,0.422459893048128,509.224137931034,Euler
343,1,505,978,473,0.481283422459893,499.383458646617,Euler
344,1,518,1000,482,0.470588235294118,503.741379310345,Euler
345,1,502,999,497,0.491978609625668,483.583333333333,Euler
346,1,501,990,489,0.491978609625668,492.645390070922,Euler
347,1,502,687,185,0.481283422459893,495.936,Euler
348,1,461,998,537,0.422459893048128,503.880341880342,Euler
349,1,487,987,500,0.422459893048128,505.5,Euler
350,1,488,993,505,0.449197860962567,512.984,Euler
351,1,486,977,491,0.449197860962567,517.868852459016,Euler
352,1,473,953,480,0.454545454545455,515.374045801527,Euler
353,1,475,955,480,0.427807486631016,522.841666666667,Euler
354,1,491,1006,515,0.390374331550802,519.394495412844,Euler
355,1,505,963,458,0.390374331550802,523.288288288288,Euler
356,1,524,966,442,0.368983957219251,531.54,Euler
357,1,186,259,73,0.368983957219251,526.693181818182,Euler
358,1,505,692,187,0.368983957219251,531.319587628866,Euler
368,1,511,996,485,0.342281879194631,497.101449275362,Euler
