noncanceled_pBurst,nostop_pBurst,noncanceledBurstTime,nostopBurstTime,noncanceledBurstOnset,nostopBurstOnset,noncanceledBurstOffset,nostopBurstOffset,noncanceledBurstDuration,nostopBurstDuration,noncanceledBurstVolume,nostopBurstVolume,noncanceledBurstFreq,nostopBurstFreq,monkeyLabel
0.416267942583732,0.141716566866267,508.383333333333,465.287356321839,-176.975,-166.091954022989,275.191666666667,187.494252873563,452.166666666667,353.586206896552,76818635997.1536,31676106259.2632,21.8,20.4137931034483,Euler
0.339712918660287,0.0918163672654691,524.556818181818,465.207547169811,-154.636363636364,-127.641509433962,190.215909090909,166.339622641509,344.852272727273,293.981132075472,42513666404.464,23078041767.5318,25.1931818181818,25.1132075471698,Euler
0.334928229665072,0.103792415169661,508.71875,473.016949152542,-138.666666666667,-123.186440677966,226.083333333333,123.033898305085,364.75,246.220338983051,48454377213.6196,17473327404.7732,25.8645833333333,25.9661016949153,Euler
0.354066985645933,0.11377245508982,516.857142857143,462.048387096774,-143.132653061224,-120.435483870968,207.928571428571,137.354838709677,351.061224489796,257.790322580645,141832763724.424,50636750915.4985,25.8061224489796,25.1129032258065,Euler
0.330143540669856,0.103792415169661,529.966292134831,469.213114754098,-146.606741573034,-139.737704918033,192.404494382022,151.508196721311,339.011235955056,291.245901639344,545094397602.177,264712656629.015,25.4719101123596,24.2622950819672,Euler
0.45933014354067,0.101796407185629,515.414634146341,494.8,-146.154471544715,-151.909090909091,255.674796747967,147.672727272727,401.829268292683,299.581818181818,963115464030.293,256230203684.803,25.8617886178862,26.1818181818182,Euler
0.507177033492823,0.151696606786427,512.692857142857,490.741573033708,-139.235714285714,-146.775280898876,262.414285714286,132.898876404494,401.65,279.674157303371,1072332975954.61,311201859789.184,26.1071428571429,26.1685393258427,Euler
0.45933014354067,0.187624750499002,506.646616541353,472.153153153153,-145.834586466165,-144.828828828829,278.624060150376,169.441441441441,424.458646616541,314.27027027027,1700091345179.84,472696080874.434,25.9398496240602,26,Euler
0.449760765550239,0.18562874251497,504.573426573427,484.261682242991,-148.426573426573,-127.11214953271,282.545454545455,155.859813084112,430.972027972028,282.971962616822,1672463418430.85,477483083616.185,25.8671328671329,26.1588785046729,Euler
0.406698564593301,0.191616766467066,505.084615384615,481.878504672897,-148.830769230769,-125.682242990654,253,156.747663551402,401.830769230769,282.429906542056,1561620891118.61,440816141257.35,26.2,25.9719626168224,Euler
0.411483253588517,0.18562874251497,514.628099173554,483.259615384615,-145.776859504132,-124.5,242.95867768595,188.961538461538,388.735537190083,313.461538461538,1361754471477.3,514138163337.738,26.5537190082645,26.3461538461538,Euler
0.37799043062201,0.139720558882236,510.136363636364,485.481481481481,-149.327272727273,-124.074074074074,241.027272727273,169.358024691358,390.354545454545,293.432098765432,1515303379421.65,427556454977.92,26.1090909090909,26.7530864197531,Euler
0.37799043062201,0.0978043912175649,521.642276422764,494.388888888889,-153.991869918699,-111.555555555556,292.69918699187,152.277777777778,446.691056910569,263.833333333333,2037924448920.99,434184176966.685,25.4715447154472,26.5925925925926,Euler
0.373205741626794,0.0818363273453094,527.464566929134,481.355555555556,-149.834645669291,-107.133333333333,301.874015748031,158.888888888889,451.708661417323,266.022222222222,2323441605014.87,520878909375.423,25.6141732283465,26.1333333333333,Euler
0.421052631578947,0.105788423153693,521.692913385827,487.088235294118,-147.669291338583,-113.367647058824,310.031496062992,159.264705882353,457.700787401575,272.632352941176,2485731682190.82,464816861681.099,26.0314960629921,26.6470588235294,Euler
0.401913875598086,0.117764471057884,525.025423728814,473.784810126582,-145.491525423729,-126.73417721519,297.872881355932,162.746835443038,443.364406779661,289.481012658228,2612951440903.2,477758829246.308,26.0338983050847,26.3417721518987,Euler
0.358851674641148,0.121756487025948,514.972222222222,486.929577464789,-143.453703703704,-122.408450704225,309.509259259259,143.887323943662,452.962962962963,266.295774647887,2443846838093.93,440117263707.669,26.5277777777778,25.7887323943662,Euler
0.38755980861244,0.111776447105788,522.116071428571,471.640625,-139.75,-126.828125,329.946428571429,149.3125,469.696428571429,276.140625,2240129962413.32,427255915734.47,26.2589285714286,26.171875,Euler
0.301435406698565,0.103792415169661,525.428571428571,486.696428571429,-141.130952380952,-118.410714285714,269.309523809524,127.428571428571,410.440476190476,245.839285714286,1786049950050.6,345440625718.906,26.1428571428571,26.0714285714286,Euler
0.282296650717703,0.093812375249501,532.465753424658,484.74,-141.739726027397,-120.88,256.397260273973,139.54,398.13698630137,260.42,1492259633023.72,334125189475.661,25.6164383561644,25.78,Euler
0.510489510489511,0.159250585480094,511.728070175439,470.753424657534,-152.394736842105,-129.082191780822,229.80701754386,130.356164383562,382.201754385965,259.438356164384,451353590382.422,108822430415.835,26.0526315789474,26.972602739726,Euler
0.587412587412587,0.236533957845433,501.371212121212,488.1,-144.151515151515,-126.227272727273,214.583333333333,172.945454545455,358.734848484848,299.172727272727,592601587051.754,161653691803.11,26.2878787878788,26.6636363636364,Euler
0.552447552447552,0.241217798594848,489.646616541353,476.438461538462,-147.789473684211,-149.984615384615,273.578947368421,152.315384615385,421.368421052632,302.3,824051637617.559,245989300774.238,25.8721804511278,26.4,Euler
0.552447552447552,0.189695550351288,492.112068965517,481.063063063063,-141.077586206897,-143.900900900901,237.120689655172,141.297297297297,378.198275862069,285.198198198198,695697221604.785,249641525162.582,25.9310344827586,25.6126126126126,Euler
