LFPidx,channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,baseline_200_pBurst,target_200_pBurst,stopping_baseline_canceled,stopping_baseline_noncanc,stopping_baseline_nostop,stopping_ssd_canceled,stopping_ssd_noncanc,stopping_ssd_nostop,stopping_canceledBurstTime,stopping_noncanceledBurstTime,stopping_nostopBurstTime,stopping_canceledBurstOnset,stopping_noncanceledBurstOnset,stopping_nostopBurstOnset,stopping_canceledBurstOffset,stopping_noncanceledBurstOffset,stopping_nostopBurstOffset,stopping_canceledBurstDuration,stopping_noncanceledBurstDuration,stopping_nostopBurstDuration,stopping_canceledBurstVolume,stopping_noncanceledBurstVolume,stopping_nostopBurstVolume,stopping_canceledBurstFreq,stopping_noncanceledBurstFreq,stopping_nostopBurstFreq,error_noncanceled_pBurst,error_nostop_pBurst,error_noncanceledBurstTime,error_nostopBurstTime,error_noncanceledBurstOnset,error_nostopBurstOnset,error_noncanceledBurstOffset,error_nostopBurstOffset,error_noncanceledBurstDuration,error_nostopBurstDuration,error_noncanceledBurstVolume,error_nostopBurstVolume,error_noncanceledBurstFreq,error_nostopBurstFreq
11,15,1,eulsef20120904c-01,AD31,1,4,np1,0,NaN,0,Euler,0.33175355450237,0.344075829383886,0.244444444444444,0.248803827751196,0.233532934131737,0.173333333333333,0.138755980861244,0.167664670658683,68.3098591549296,79.3333333333333,58.4351145038168,-153.591549295775,-107.787878787879,-121.091603053435,140.281690140845,133.69696969697,133.282442748092,293.87323943662,241.484848484848,254.374045801527,281509158628.946,256127395444.213,264640866220.222,21.5352112676056,22.1515151515152,22.8702290076336,0.617224880382775,0.49500998003992,493.028708133971,469.169540229885,-133.11961722488,-124.73275862069,217.224880382775,159.114942528736,350.344497607656,283.847701149425,898771186477.456,324969014650.714,25.6172248803828,25.3045977011494
12,16,1,eulsef20120904c-01,AD32,1,4,np1,0,NaN,0,Euler,0.317535545023697,0.280568720379147,0.244444444444444,0.167464114832536,0.215568862275449,0.164444444444444,0.110047846889952,0.155688622754491,60.6,79,69.9191919191919,-143.6,-128.552631578947,-143.090909090909,173.916666666667,134.921052631579,144.848484848485,317.516666666667,263.473684210526,287.939393939394,321042025621.159,262734344682.148,266827085387.67,21.5666666666667,20.3157894736842,21.5858585858586,0.555023923444976,0.409181636726547,499.16091954023,466.415492957746,-136.14367816092,-117.112676056338,211.442528735632,152.683098591549,347.586206896552,269.795774647887,1052008921166.66,275079623859.953,25.4137931034483,25.7077464788732
13,17,1,eulsef20120904c-01,AD33,1,4,np1,0,NaN,0,Euler,0.418957345971564,0.361137440758294,0.32,0.277511961722488,0.285429141716567,0.186666666666667,0.205741626794258,0.221556886227545,74.3606557377049,90.75,69.4873417721519,-140.180327868852,-147.152777777778,-130.886075949367,148.295081967213,147.763888888889,127.335443037975,288.475409836066,294.916666666667,258.221518987342,303044720225.926,306502879510.813,274165399883.649,20.7540983606557,21.4444444444444,21.7215189873418,0.669856459330144,0.483033932135729,486.53125,464.640579710145,-140.04296875,-120.924637681159,250.88671875,138.547826086957,390.9296875,259.472463768116,1142323173957.61,256119865268.868,24.21875,24.904347826087
14,18,1,eulsef20120904c-01,AD34,1,4,np1,0,NaN,0,Euler,0.451184834123223,0.414218009478673,0.266666666666667,0.291866028708134,0.307385229540918,0.2,0.196172248803828,0.215568862275449,60.5531914893617,75.7123287671233,71.3273809523809,-137.712765957447,-124.438356164384,-149.964285714286,143.776595744681,118.109589041096,115.14880952381,281.489361702128,242.547945205479,265.113095238095,263002864983.118,226801590371.965,257226746190.077,21.0851063829787,20.3561643835616,22.4880952380952,0.712918660287081,0.477045908183633,492.856617647059,469.139318885449,-126.981617647059,-110.513931888545,250.125,123.476780185759,377.106617647059,233.990712074303,1263994215981.69,246512927367.598,24.8639705882353,25.1021671826625
15,19,1,eulsef20120904c-01,AD35,1,4,np1,0,NaN,0,Euler,0.402843601895735,0.38957345971564,0.302222222222222,0.215311004784689,0.277445109780439,0.173333333333333,0.15311004784689,0.171656686626747,59.4918032786885,77.6041666666667,58.5579710144928,-142.065573770492,-161.9375,-134.398550724638,143.262295081967,133.604166666667,134.347826086957,285.327868852459,295.541666666667,268.746376811594,298354837384.442,243640529789.252,293461170007.107,20.016393442623,20.5625,21.6376811594203,0.636363636363636,0.467065868263473,498.268398268398,468.521472392638,-132.606060606061,-105.113496932515,288.623376623377,122.861963190184,421.229437229437,227.975460122699,1531690876098.22,247716984884.531,24.9090909090909,25.3496932515337
16,20,1,eulsef20120904c-01,AD36,1,4,np1,0,NaN,0,Euler,0.272985781990521,0.345971563981043,0.213333333333333,0.162679425837321,0.177644710578842,0.133333333333333,0.110047846889952,0.145708582834331,50.1607142857143,74.9354838709677,47.2834645669291,-136.892857142857,-156.354838709677,-139.748031496063,127.875,178.709677419355,143.259842519685,264.767857142857,335.064516129032,283.007874015748,304310310000.371,301542402398.696,314173302566.328,20.625,20.0967741935484,21.1732283464567,0.617224880382775,0.375249500998004,496.1592039801,471.236434108527,-126.980099502488,-118.457364341085,275.940298507463,133.100775193798,402.92039800995,251.558139534884,1653456865149.63,280080359516.79,25.2636815920398,25.8217054263566
17,21,1,eulsef20120904c-01,AD37,1,4,np1,0,NaN,0,Euler,0.253080568720379,0.328909952606635,0.182222222222222,0.157894736842105,0.181636726546906,0.151111111111111,0.119617224880383,0.145708582834331,49.2631578947368,76.8285714285714,54.0803571428571,-139.561403508772,-133.457142857143,-135.616071428571,157.070175438596,168.685714285714,138.107142857143,296.631578947368,302.142857142857,273.723214285714,339189014508.651,280468762596.156,302023815391.123,21.1228070175439,20.4285714285714,21.0446428571429,0.588516746411483,0.37125748502994,490.730569948187,471.765182186235,-131.082901554404,-114.631578947368,280.948186528497,131.376518218623,412.031088082902,246.008097165992,1503732373490.61,266974909704.133,25.6113989637306,25.9028340080972
18,22,1,eulsef20120904c-01,AD38,1,4,np1,0,NaN,0,Euler,0.227488151658768,0.292890995260664,0.182222222222222,0.15311004784689,0.151696606786427,0.155555555555556,0.0813397129186603,0.0958083832335329,43.1451612903226,49.8695652173913,45.6081081081081,-140.016129032258,-133.608695652174,-158.027027027027,135.129032258065,184.782608695652,144.864864864865,275.145161290323,318.391304347826,302.891891891892,326065151301.318,311466084699.717,344990000841.291,19.5322580645161,19.695652173913,20.6081081081081,0.535885167464115,0.31936127744511,501.061349693252,469.155778894472,-130.233128834356,-116.261306532663,308.901840490798,139.27135678392,439.134969325153,255.532663316583,1635187521585.55,275230879623.299,25.8159509202454,25.9547738693467
19,23,1,eulsef20120904c-01,AD39,1,4,np1,0,NaN,0,Euler,0.175355450236967,0.243601895734597,0.12,0.110047846889952,0.105788423153693,0.142222222222222,0.076555023923445,0.0798403193612774,44,68.2105263157895,39.9523809523809,-149.5,-157.684210526316,-149.761904761905,151.947368421053,173.947368421053,139.31746031746,301.447368421053,331.631578947368,289.079365079365,354020231737.223,357264607045.504,336698102092.572,19.6315789473684,19.6315789473684,20.3174603174603,0.406698564593301,0.227544910179641,506.637096774194,478.5,-131.290322580645,-111.927536231884,262.991935483871,127,394.282258064516,238.927536231884,1301419348853.94,254215167854.845,25.6370967741935,25.9347826086957
20,24,1,eulsef20120904c-01,AD40,1,4,np1,0,NaN,0,Euler,0.153554502369668,0.194312796208531,0.102222222222222,0.100478468899522,0.111776447105788,0.115555555555556,0.0526315789473684,0.0738522954091816,45.9375,82.3636363636364,45,-150.34375,-155.272727272727,-182.66,157.34375,153.818181818182,144.58,307.6875,309.090909090909,327.24,383898706219.621,328762212470.14,312798289461.593,20.1875,20,19.24,0.334928229665072,0.179640718562874,519.956043956044,478.735294117647,-139.263736263736,-111.921568627451,257.538461538462,129.205882352941,396.802197802198,241.127450980392,1248787795557.75,257142878729.293,25.5274725274725,25.7745098039216
