noncanceled_pBurst,nostop_pBurst,noncanceledBurstTime,nostopBurstTime,noncanceledBurstOnset,nostopBurstOnset,noncanceledBurstOffset,nostopBurstOffset,noncanceledBurstDuration,nostopBurstDuration,noncanceledBurstVolume,nostopBurstVolume,noncanceledBurstFreq,nostopBurstFreq,monkeyLabel
0.00478468899521531,0,553.5,NaN,-135,NaN,251,NaN,386,NaN,501447043859.038,NaN,25.5,NaN,Euler
0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Euler
0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Euler
0.0191387559808612,0,552,NaN,-299.8,NaN,333.8,NaN,633.6,NaN,664662039426.628,NaN,23.4,NaN,Euler
0.315789473684211,0.0818363273453094,531.698795180723,469.979166666667,-147.481927710843,-146.041666666667,198.168674698795,154.208333333333,345.650602409639,300.25,572548146847.5,282691349780.304,25.3132530120482,24.375,Euler
0.440191387559809,0.0958083832335329,519.504201680672,490.692307692308,-146.176470588235,-156.096153846154,249.798319327731,147.076923076923,395.974789915966,303.173076923077,978253317358.226,263127134063.579,25.8823529411765,26.2307692307692,Euler
0.516746411483254,0.187624750499002,511.902777777778,484.183486238532,-137.819444444444,-138.532110091743,267.847222222222,141.559633027523,405.666666666667,280.091743119266,1055107361660.15,288212734848.332,26.1319444444444,25.9816513761468,Euler
0.588516746411483,0.457085828343313,489.26368159204,462.463022508039,-137.825870646766,-128.990353697749,253.597014925373,150.418006430868,391.422885572139,279.408360128617,1230899030262.6,308246295544.406,25.7512437810945,25.7138263665595,Euler
0.636363636363636,0.530938123752495,485.449339207048,466.733681462141,-136.405286343612,-122.43864229765,248.757709251101,149.767624020888,385.162995594714,272.206266318538,1156706354220.58,308375402756.006,25.7092511013216,25.3655352480418,Euler
0.598086124401914,0.508982035928144,486.607655502392,468.398843930636,-131.502392344498,-123.341040462428,229.526315789474,150.309248554913,361.028708133971,273.650289017341,1075935852212.75,297827267201.145,25.9521531100478,25.3439306358381,Euler
0.617224880382775,0.49500998003992,493.028708133971,469.169540229885,-133.11961722488,-124.73275862069,217.224880382775,159.114942528736,350.344497607656,283.847701149425,898771186477.456,324969014650.714,25.6172248803828,25.3045977011494,Euler
0.555023923444976,0.409181636726547,499.16091954023,466.415492957746,-136.14367816092,-117.112676056338,211.442528735632,152.683098591549,347.586206896552,269.795774647887,1052008921166.66,275079623859.953,25.4137931034483,25.7077464788732,Euler
0.669856459330144,0.483033932135729,486.53125,464.640579710145,-140.04296875,-120.924637681159,250.88671875,138.547826086957,390.9296875,259.472463768116,1142323173957.61,256119865268.868,24.21875,24.904347826087,Euler
0.712918660287081,0.477045908183633,492.856617647059,469.139318885449,-126.981617647059,-110.513931888545,250.125,123.476780185759,377.106617647059,233.990712074303,1263994215981.69,246512927367.598,24.8639705882353,25.1021671826625,Euler
0.636363636363636,0.467065868263473,498.268398268398,468.521472392638,-132.606060606061,-105.113496932515,288.623376623377,122.861963190184,421.229437229437,227.975460122699,1531690876098.22,247716984884.531,24.9090909090909,25.3496932515337,Euler
0.617224880382775,0.375249500998004,496.1592039801,471.236434108527,-126.980099502488,-118.457364341085,275.940298507463,133.100775193798,402.92039800995,251.558139534884,1653456865149.63,280080359516.79,25.2636815920398,25.8217054263566,Euler
0.588516746411483,0.37125748502994,490.730569948187,471.765182186235,-131.082901554404,-114.631578947368,280.948186528497,131.376518218623,412.031088082902,246.008097165992,1503732373490.61,266974909704.133,25.6113989637306,25.9028340080972,Euler
0.535885167464115,0.31936127744511,501.061349693252,469.155778894472,-130.233128834356,-116.261306532663,308.901840490798,139.27135678392,439.134969325153,255.532663316583,1635187521585.55,275230879623.299,25.8159509202454,25.9547738693467,Euler
0.406698564593301,0.227544910179641,506.637096774194,478.5,-131.290322580645,-111.927536231884,262.991935483871,127,394.282258064516,238.927536231884,1301419348853.94,254215167854.845,25.6370967741935,25.9347826086957,Euler
0.334928229665072,0.179640718562874,519.956043956044,478.735294117647,-139.263736263736,-111.921568627451,257.538461538462,129.205882352941,396.802197802198,241.127450980392,1248787795557.75,257142878729.293,25.5274725274725,25.7745098039216,Euler
0.447552447552448,0.0608899297423888,514.872340425532,486.185185185185,-156.691489361702,-131.407407407407,225.042553191489,149.111111111111,381.734042553192,280.518518518519,511748508008.735,160376709650.42,25.9787234042553,26.8148148148148,Euler
0.587412587412587,0.234192037470726,501.371212121212,489.083333333333,-144.151515151515,-126.583333333333,214.583333333333,174.703703703704,358.734848484848,301.287037037037,592601587051.754,163328856495.812,26.2878787878788,26.6759259259259,Euler
0.72027972027972,0.4192037470726,486.110465116279,476.246031746032,-136.720930232558,-136.948412698413,263.773255813953,151.027777777778,400.494186046512,287.97619047619,673633137159.597,187839348823.881,25.7209302325581,25.8333333333333,Euler
0.727272727272727,0.505854800936768,480.553672316384,466.582278481013,-135.175141242938,-124.5,232.864406779661,136.955696202532,368.039548022599,261.455696202532,521306449503.412,169028612979.014,26.0112994350282,25.2056962025316,Euler
0.734265734265734,0.466042154566745,490.554838709677,469.667924528302,-142.593548387097,-123.120754716981,206.361290322581,143.977358490566,348.954838709677,267.098113207547,441352170948.161,169084650215.042,26.0516129032258,25.2943396226415,Euler
0.734265734265734,0.374707259953162,491.005780346821,472.882352941176,-139.49710982659,-122.203619909502,211.699421965318,143.778280542986,351.196531791907,265.981900452489,434561369168.875,176865473896.384,25.5664739884393,25.5294117647059,Euler
