session,monkey,alignmentLabel,upper_regular_pre,upper_regular_post,upper_shuffled_pre,upper_shuffled_post,lower_regular_pre,lower_regular_post,lower_shuffled_pre,lower_shuffled_post
14,Euler,target,0.166666666666667,0.222222222222222,0.194444444444444,0.277777777777778,0.277777777777778,0.305555555555556,0.222222222222222,0.166666666666667
14,Euler,saccade,0.364485981308411,0.457943925233645,0.233644859813084,0.271028037383178,0.355140186915888,0.327102803738318,0.345794392523364,0.299065420560748
14,Euler,stopSignal,0.153846153846154,0.153846153846154,0.0769230769230769,0.134615384615385,0.173076923076923,0.153846153846154,0.192307692307692,0.173076923076923
14,Euler,tone,0.0833333333333333,0.333333333333333,0.166666666666667,0,0.25,0.5,0.166666666666667,0
15,Euler,target,0.280701754385965,0.263157894736842,0.140350877192982,0.228070175438596,0.175438596491228,0.210526315789474,0.263157894736842,0.245614035087719
15,Euler,saccade,0.372413793103448,0.441379310344828,0.331034482758621,0.379310344827586,0.462068965517241,0.482758620689655,0.317241379310345,0.468965517241379
15,Euler,stopSignal,0.163265306122449,0.102040816326531,0.0816326530612245,0.0816326530612245,0.244897959183673,0.224489795918367,0.163265306122449,0.0816326530612245
15,Euler,tone,0.368421052631579,0.157894736842105,0.0526315789473684,0,0.210526315789474,0.210526315789474,0.0526315789473684,0.105263157894737
16,Euler,target,0.24,0.3,0.24,0.2,0.22,0.22,0.08,0.1
16,Euler,saccade,0.422222222222222,0.422222222222222,0.244444444444444,0.311111111111111,0.333333333333333,0.433333333333333,0.177777777777778,0.244444444444444
16,Euler,stopSignal,0.163636363636364,0.145454545454545,0.163636363636364,0.109090909090909,0.127272727272727,0.0909090909090909,0.0909090909090909,0.0727272727272727
16,Euler,tone,0.266666666666667,0.2,0.0666666666666667,0.0666666666666667,0.266666666666667,0.2,0.133333333333333,0.133333333333333
17,Euler,target,0.218181818181818,0.309090909090909,0.2,0.127272727272727,0.218181818181818,0.181818181818182,0.127272727272727,0.2
17,Euler,saccade,0.344827586206897,0.528735632183908,0.275862068965517,0.402298850574713,0.275862068965517,0.379310344827586,0.241379310344828,0.275862068965517
17,Euler,stopSignal,0.266666666666667,0.311111111111111,0.244444444444444,0.0888888888888889,0.244444444444444,0.244444444444444,0.2,0.2
17,Euler,tone,0.28125,0.46875,0.15625,0.375,0.34375,0.3125,0.15625,0.28125
18,Euler,target,0.172413793103448,0.137931034482759,0.103448275862069,0.172413793103448,0.241379310344828,0.137931034482759,0.172413793103448,0.206896551724138
18,Euler,saccade,0.275,0.4,0.125,0.275,0.3,0.35,0.3,0.4
18,Euler,stopSignal,0.117647058823529,0.0588235294117647,0.0882352941176471,0.176470588235294,0.117647058823529,0.117647058823529,0.0882352941176471,0.147058823529412
18,Euler,tone,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0
19,Euler,target,0.266666666666667,0.28,0.186666666666667,0.173333333333333,0.173333333333333,0.24,0.146666666666667,0.16
19,Euler,saccade,0.357894736842105,0.4,0.326315789473684,0.263157894736842,0.231578947368421,0.263157894736842,0.157894736842105,0.147368421052632
19,Euler,stopSignal,0.152380952380952,0.152380952380952,0.171428571428571,0.180952380952381,0.0666666666666667,0.0666666666666667,0.123809523809524,0.0857142857142857
19,Euler,tone,0.166666666666667,0.466666666666667,0.266666666666667,0.3,0.2,0.3,0.3,0.1
20,Xena,target,0.239130434782609,0.311594202898551,0.27536231884058,0.311594202898551,0.181159420289855,0.22463768115942,0.13768115942029,0.173913043478261
20,Xena,saccade,0.241935483870968,0.274193548387097,0.217741935483871,0.185483870967742,0.161290322580645,0.185483870967742,0.209677419354839,0.225806451612903
20,Xena,stopSignal,0.283870967741935,0.27741935483871,0.258064516129032,0.212903225806452,0.167741935483871,0.135483870967742,0.2,0.180645161290323
20,Xena,tone,0.178571428571429,0.169642857142857,0.232142857142857,0.276785714285714,0.196428571428571,0.116071428571429,0.214285714285714,0.205357142857143
21,Xena,target,0.252427184466019,0.271844660194175,0.320388349514563,0.359223300970874,0.213592233009709,0.262135922330097,0.184466019417476,0.194174757281553
21,Xena,saccade,0.256880733944954,0.26605504587156,0.275229357798165,0.26605504587156,0.220183486238532,0.284403669724771,0.18348623853211,0.229357798165138
21,Xena,stopSignal,0.236486486486486,0.385135135135135,0.304054054054054,0.344594594594595,0.256756756756757,0.27027027027027,0.263513513513513,0.277027027027027
21,Xena,tone,0.237410071942446,0.251798561151079,0.23021582733813,0.20863309352518,0.23021582733813,0.179856115107914,0.215827338129496,0.18705035971223
22,Xena,target,0.284210526315789,0.326315789473684,0.242105263157895,0.315789473684211,0.2,0.378947368421053,0.2,0.305263157894737
22,Xena,saccade,0.316326530612245,0.336734693877551,0.336734693877551,0.285714285714286,0.244897959183673,0.36734693877551,0.285714285714286,0.316326530612245
22,Xena,stopSignal,0.291338582677165,0.307086614173228,0.31496062992126,0.307086614173228,0.267716535433071,0.291338582677165,0.31496062992126,0.251968503937008
22,Xena,tone,0.253164556962025,0.443037974683544,0.278481012658228,0.278481012658228,0.278481012658228,0.316455696202532,0.240506329113924,0.278481012658228
23,Xena,target,0.224719101123595,0.202247191011236,0.269662921348315,0.258426966292135,0.213483146067416,0.213483146067416,0.202247191011236,0.235955056179775
23,Xena,saccade,0.231707317073171,0.195121951219512,0.170731707317073,0.195121951219512,0.182926829268293,0.182926829268293,0.329268292682927,0.280487804878049
23,Xena,stopSignal,0.339622641509434,0.311320754716981,0.264150943396226,0.226415094339623,0.273584905660377,0.311320754716981,0.292452830188679,0.207547169811321
