monkeyLabel,noncanceled_pBurst_early,nostop_pBurst_early,noncanceled_pBurst_late,nostop_pBurst_late
Euler,0,0,0.00478468899521531,0
Euler,0,0,0,0
Euler,0,0,0,0
Euler,0,0,0.0191387559808612,0
Euler,0.0861244019138756,0.0419161676646707,0.287081339712919,0.0698602794411178
Euler,0.0239234449760766,0.0499001996007984,0.421052631578947,0.0838323353293413
Euler,0.0143540669856459,0.0538922155688623,0.497607655502392,0.147704590818363
Euler,0.129186602870813,0.141716566866267,0.550239234449761,0.369261477045908
Euler,0.181818181818182,0.19560878243513,0.583732057416268,0.437125748502994
Euler,0.186602870813397,0.19560878243513,0.545454545454545,0.419161676646707
Euler,0.172248803827751,0.211576846307385,0.569377990430622,0.409181636726547
Euler,0.196172248803828,0.197604790419162,0.526315789473684,0.335329341317365
Euler,0.296650717703349,0.281437125748503,0.607655502392344,0.401197604790419
Euler,0.272727272727273,0.261477045908184,0.650717703349282,0.383233532934132
Euler,0.272727272727273,0.211576846307385,0.583732057416268,0.389221556886228
Euler,0.215311004784689,0.173652694610778,0.574162679425837,0.307385229540918
Euler,0.129186602870813,0.141716566866267,0.564593301435407,0.311377245508982
Euler,0.124401913875598,0.121756487025948,0.507177033492823,0.251497005988024
Euler,0.114832535885167,0.0598802395209581,0.382775119617225,0.181636726546906
Euler,0.0478468899521531,0.031936127744511,0.320574162679426,0.151696606786427
Euler,0.013986013986014,0.0304449648711944,0.426573426573427,0.0562060889929742
Euler,0.020979020979021,0.0889929742388759,0.573426573426573,0.203747072599532
Euler,0.0909090909090909,0.152224824355972,0.678321678321678,0.346604215456674
Euler,0.181818181818182,0.241217798594848,0.664335664335664,0.405152224824356
Euler,0.237762237762238,0.201405152224824,0.685314685314685,0.358313817330211
Euler,0.20979020979021,0.189695550351288,0.678321678321678,0.299765807962529
Euler,0.237762237762238,0.182669789227166,0.657342657342657,0.318501170960187
Euler,0.237762237762238,0.206088992974239,0.664335664335664,0.302107728337237
Euler,0.251748251748252,0.231850117096019,0.727272727272727,0.311475409836066
Euler,0.174825174825175,0.213114754098361,0.734265734265734,0.330210772833724
Euler,0.167832167832168,0.22248243559719,0.699300699300699,0.351288056206089
Euler,0.160839160839161,0.199063231850117,0.65034965034965,0.362997658079625
Euler,0.153846153846154,0.163934426229508,0.566433566433566,0.323185011709602
Euler,0.146853146853147,0.133489461358314,0.510489510489511,0.243559718969555
Euler,0.0909090909090909,0.0843091334894614,0.48951048951049,0.224824355971897
Euler,0.0839160839160839,0.0655737704918033,0.41958041958042,0.154566744730679
Euler,0.0699300699300699,0.063231850117096,0.482517482517482,0.159250585480094
Euler,0.0839160839160839,0.0608899297423888,0.468531468531469,0.142857142857143
Euler,0.0909090909090909,0.0562060889929742,0.475524475524476,0.133489461358314
Euler,0.0559440559440559,0.0585480093676815,0.468531468531469,0.112412177985948
Euler,0,0,0.029585798816568,0
Euler,0,0,0.0473372781065089,0
Euler,0,0,0.0473372781065089,0
Euler,0.00591715976331361,0.0237580993520518,0.248520710059172,0.0669546436285097
Euler,0.0532544378698225,0.103671706263499,0.467455621301775,0.254859611231102
Euler,0.236686390532544,0.235421166306695,0.63905325443787,0.406047516198704
Euler,0.254437869822485,0.254859611231102,0.621301775147929,0.406047516198704
Euler,0.27810650887574,0.244060475161987,0.609467455621302,0.401727861771058
Euler,0.21301775147929,0.207343412526998,0.568047337278107,0.330453563714903
Euler,0.254437869822485,0.287257019438445,0.544378698224852,0.382289416846652
Euler,0.390532544378698,0.390928725701944,0.627218934911243,0.485961123110151
Euler,0.266272189349112,0.257019438444924,0.579881656804734,0.399568034557235
Euler,0.224852071005917,0.250539956803456,0.591715976331361,0.380129589632829
Euler,0.21301775147929,0.215982721382289,0.532544378698225,0.326133909287257
Euler,0.153846153846154,0.142548596112311,0.455621301775148,0.287257019438445
Euler,0.100591715976331,0.0885529157667387,0.337278106508876,0.138228941684665
Euler,0.100591715976331,0.0496760259179266,0.254437869822485,0.0863930885529158
Euler,0.0414201183431953,0.0215982721382289,0.260355029585799,0.0842332613390929
Euler,0.0473372781065089,0.0215982721382289,0.242603550295858,0.0496760259179266
Euler,0.0236686390532544,0.0215982721382289,0.236686390532544,0.0561555075593952
Euler,0.0855614973262032,0.0990825688073395,0.486631016042781,0.211009174311927
Euler,0.192513368983957,0.26605504587156,0.614973262032086,0.411009174311927
Euler,0.272727272727273,0.310091743119266,0.647058823529412,0.511926605504587
Euler,0.288770053475936,0.328440366972477,0.684491978609626,0.504587155963303
Euler,0.25668449197861,0.322935779816514,0.657754010695187,0.471559633027523
Euler,0.304812834224599,0.306422018348624,0.647058823529412,0.422018348623853
Euler,0.25668449197861,0.293577981651376,0.689839572192513,0.431192660550459
Euler,0.320855614973262,0.343119266055046,0.711229946524064,0.497247706422018
Euler,0.224598930481283,0.288073394495413,0.657754010695187,0.420183486238532
Euler,0.171122994652406,0.238532110091743,0.614973262032086,0.403669724770642
Euler,0.133689839572193,0.187155963302752,0.566844919786096,0.33394495412844
Euler,0.112299465240642,0.0954128440366973,0.481283422459893,0.260550458715596
Euler,0.0695187165775401,0.055045871559633,0.390374331550802,0.205504587155963
Euler,0.0962566844919786,0.0678899082568807,0.390374331550802,0.174311926605505
Euler,0.0641711229946524,0.0385321100917431,0.368983957219251,0.18348623853211
Euler,0.0481283422459893,0.0220183486238532,0.288770053475936,0.115596330275229
Euler,0.0427807486631016,0.0165137614678899,0.299465240641711,0.122935779816514
Euler,0.0213903743315508,0.0220183486238532,0.288770053475936,0.0862385321100917
Euler,0.0427807486631016,0.0238532110091743,0.294117647058824,0.0935779816513762
Euler,0.0427807486631016,0.0293577981651376,0.262032085561497,0.0678899082568807
Euler,0.0748663101604278,0.148148148148148,0.486631016042781,0.183235867446394
Euler,0.13903743315508,0.206627680311891,0.53475935828877,0.282651072124756
Euler,0.310160427807487,0.387914230019493,0.60427807486631,0.430799220272904
Euler,0.320855614973262,0.350877192982456,0.556149732620321,0.393762183235867
Euler,0.251336898395722,0.333333333333333,0.508021390374332,0.345029239766082
Euler,0.336898395721925,0.385964912280702,0.561497326203209,0.372319688109162
Euler,0.320855614973262,0.335282651072125,0.577540106951872,0.362573099415205
Euler,0.315508021390374,0.41130604288499,0.620320855614973,0.450292397660819
Euler,0.267379679144385,0.321637426900585,0.614973262032086,0.444444444444444
Euler,0.213903743315508,0.269005847953216,0.540106951871658,0.415204678362573
Euler,0.117647058823529,0.181286549707602,0.411764705882353,0.282651072124756
Euler,0.0855614973262032,0.105263157894737,0.342245989304813,0.216374269005848
