label,monkey,target,stopSignal,saccade,tone
EEG,Euler,0.195555555555556,0.182222222222222,0.503875968992248,0.503875968992248
EEG,Euler,0.152694610778443,0.122754491017964,0.481283422459893,0.363636363636364
EEG,Euler,0.153094462540717,0.143322475570033,0.416107382550336,0.369127516778524
EEG,Euler,0.195945945945946,0.125,0.442028985507246,0.528985507246377
EEG,Euler,0.208860759493671,0.183544303797468,0.36986301369863,0.36986301369863
EEG,Euler,0.242744063324538,0.216358839050132,0.337016574585635,0.298342541436464
EEG,Xena,0.324503311258278,0.286975717439294,0.316498316498317,0.303030303030303
EEG,Xena,0.385245901639344,0.352459016393443,0.425,0.405
EEG,Xena,0.255125284738041,0.236902050113895,0.3125,0.366071428571429
EEG,Xena,0.214099216710183,0.234986945169713,0.308988764044944,0.314606741573034
EEG,Xena,0.262872628726287,0.260162601626016,0.386266094420601,0.381974248927039
EEG,Xena,0.28,0.288,0.32484076433121,0.382165605095541
EEG,Xena,0.286713286713287,0.251748251748252,0.383333333333333,0.3
EEG,Xena,0.317757009345794,0.303738317757009,0.325581395348837,0.383720930232558
EEG,Xena,0.293532338308458,0.243781094527363,0.431372549019608,0.362745098039216
EEG,Xena,0.236220472440945,0.244094488188976,0.28695652173913,0.278260869565217
Upper,Euler,0.528888888888889,0.497777777777778,0.666666666666667,0.596899224806202
Upper,Euler,0.413173652694611,0.245508982035928,0.641711229946524,0.475935828877005
Upper,Euler,0.436482084690554,0.397394136807818,0.697986577181208,0.604026845637584
Upper,Euler,0.540540540540541,0.418918918918919,0.753623188405797,0.565217391304348
Upper,Euler,0.367088607594937,0.284810126582278,0.506849315068493,0.424657534246575
Upper,Euler,0.464379947229551,0.369393139841689,0.734806629834254,0.569060773480663
Upper,Xena,0.631346578366446,0.637969094922737,0.562289562289562,0.518518518518518
Upper,Xena,0.62568306010929,0.658469945355191,0.6,0.59
Upper,Xena,0.722095671981777,0.740318906605923,0.691964285714286,0.71875
Upper,Xena,0.642297650130548,0.647519582245431,0.567415730337079,0.640449438202247
Upper,Xena,0.696476964769648,0.699186991869919,0.699570815450644,0.622317596566524
Upper,Xena,0.632,0.664,0.617834394904459,0.656050955414013
Upper,Xena,0.587412587412587,0.566433566433566,0.516666666666667,0.633333333333333
Upper,Xena,0.761682242990654,0.719626168224299,0.790697674418605,0.744186046511628
Upper,Xena,0.527363184079602,0.567164179104478,0.509803921568627,0.509803921568627
Upper,Xena,0.440944881889764,0.448818897637795,0.339130434782609,0.48695652173913
Lower,Euler,0.542222222222222,0.431111111111111,0.736434108527132,0.635658914728682
Lower,Euler,0.607784431137725,0.37125748502994,0.74331550802139,0.529411764705882
Lower,Euler,0.315960912052117,0.208469055374593,0.557046979865772,0.348993288590604
Lower,Euler,0.530405405405405,0.418918918918919,0.702898550724638,0.550724637681159
Lower,Euler,0.436708860759494,0.335443037974684,0.712328767123288,0.589041095890411
Lower,Euler,0.382585751978892,0.224274406332454,0.546961325966851,0.375690607734807
Lower,Xena,0.50551876379691,0.512141280353201,0.515151515151515,0.484848484848485
Lower,Xena,0.581967213114754,0.620218579234973,0.595,0.525
Lower,Xena,0.676537585421412,0.65375854214123,0.625,0.700892857142857
Lower,Xena,0.613577023498694,0.62402088772846,0.573033707865168,0.640449438202247
Lower,Xena,0.417344173441734,0.422764227642276,0.416309012875536,0.416309012875536
Lower,Xena,0.708,0.68,0.687898089171974,0.687898089171974
Lower,Xena,0.517482517482518,0.594405594405594,0.6,0.583333333333333
Lower,Xena,0.621495327102804,0.574766355140187,0.488372093023256,0.465116279069767
Lower,Xena,0.791044776119403,0.72636815920398,0.686274509803922,0.696078431372549
Lower,Xena,0.570866141732283,0.559055118110236,0.504347826086956,0.617391304347826
All,Euler,0.724444444444444,0.662222222222222,0.86046511627907,0.775193798449612
All,Euler,0.682634730538922,0.479041916167665,0.79144385026738,0.60427807486631
All,Euler,0.560260586319218,0.478827361563518,0.74496644295302,0.624161073825503
All,Euler,0.712837837837838,0.581081081081081,0.86231884057971,0.72463768115942
All,Euler,0.563291139240506,0.455696202531646,0.767123287671233,0.671232876712329
All,Euler,0.606860158311346,0.464379947229551,0.767955801104972,0.646408839779006
All,Xena,0.752759381898455,0.763796909492274,0.696969696969697,0.686868686868687
All,Xena,0.784153005464481,0.816939890710383,0.78,0.75
All,Xena,0.851936218678816,0.888382687927107,0.857142857142857,0.879464285714286
All,Xena,0.783289817232376,0.775456919060052,0.752808988764045,0.797752808988764
All,Xena,0.764227642276423,0.772357723577236,0.763948497854077,0.716738197424893
All,Xena,0.856,0.856,0.828025477707006,0.828025477707006
All,Xena,0.699300699300699,0.72027972027972,0.683333333333333,0.733333333333333
All,Xena,0.869158878504673,0.817757009345794,0.848837209302326,0.86046511627907
All,Xena,0.860696517412935,0.82089552238806,0.803921568627451,0.774509803921569
All,Xena,0.625984251968504,0.62992125984252,0.556521739130435,0.678260869565217
Individual,Euler,0.17281045751634,0.122091503267974,0.316917464660283,0.238030095759234
Individual,Euler,0.159915463191265,0.0783726664318422,0.389116074237182,0.19754639823844
Individual,Euler,0.127035830618893,0.0785591109407933,0.329253849190683,0.193051717331228
Individual,Euler,0.168496621621622,0.115287162162162,0.339673913043478,0.211503623188406
Individual,Euler,0.128042843232717,0.0876338851022395,0.316122233930453,0.151738672286617
Individual,Euler,0.138755238243054,0.0693776191215272,0.270068248293793,0.163145921351966
Individual,Xena,0.227924944812362,0.244665194996321,0.195566778900112,0.18013468013468
Individual,Xena,0.231597557055609,0.253937640630022,0.236764705882353,0.197941176470588
