channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
15,17,eulsef20120913c-01,AD31,1,1,p1,1,7,0,Euler,0.253378378378378,0.0574324324324324,0.310810810810811,0.27027027027027,0.434782608695652,L3,Upper
16,17,eulsef20120913c-01,AD32,1,1,p1,1,8,0,Euler,0.307432432432432,0.027027027027027,0.280405405405405,0.337837837837838,0.485507246376812,L3,Upper
17,17,eulsef20120913c-01,AD33,1,1,p1,1,9,0,Euler,0.236486486486486,0.0371621621621622,0.195945945945946,0.314189189189189,0.41304347826087,L5,Lower
18,17,eulsef20120913c-01,AD34,1,1,p1,1,10,0,Euler,0.195945945945946,0.0371621621621622,0.168918918918919,0.341216216216216,0.442028985507246,L5,Lower
19,17,eulsef20120913c-01,AD35,1,1,p1,1,11,0,Euler,0.168918918918919,0.0304054054054054,0.138513513513514,0.287162162162162,0.355072463768116,L5,Lower
20,17,eulsef20120913c-01,AD36,1,1,p1,1,12,0,Euler,0.0912162162162162,0.0304054054054054,0.0608108108108108,0.135135135135135,0.260869565217391,L5,Lower
21,17,eulsef20120913c-01,AD37,1,1,p1,1,13,0,Euler,0.0945945945945946,0.0405405405405405,0.0540540540540541,0.152027027027027,0.289855072463768,L6,Lower
22,17,eulsef20120913c-01,AD38,1,1,p1,1,14,0,Euler,0.0574324324324324,0.0337837837837838,0.0371621621621622,0.141891891891892,0.253623188405797,L6,Lower
23,17,eulsef20120913c-01,AD39,1,1,p1,1,15,0,Euler,0.0405405405405405,0.0439189189189189,0.0304054054054054,0.101351351351351,0.231884057971014,L6,Lower
24,17,eulsef20120913c-01,AD40,1,1,p1,1,16,0,Euler,0.0337837837837838,0.0439189189189189,0.0304054054054054,0.10472972972973,0.22463768115942,L6,Lower
12,18,eulsef20120914c-01,AD28,1,1,p1,1,1,0,Euler,0.20253164556962,0.069620253164557,0.291139240506329,0.322784810126582,0.506849315068493,L2,Upper
13,18,eulsef20120914c-01,AD29,1,1,p1,1,2,0,Euler,0.259493670886076,0.0569620253164557,0.348101265822785,0.354430379746835,0.534246575342466,L2,Upper
14,18,eulsef20120914c-01,AD30,1,1,p1,1,3,0,Euler,0.259493670886076,0.0632911392405063,0.386075949367089,0.443037974683544,0.438356164383562,L2,Upper
15,18,eulsef20120914c-01,AD31,1,1,p1,1,4,0,Euler,0.272151898734177,0.069620253164557,0.316455696202532,0.386075949367089,0.465753424657534,L2,Upper
