Channel,Session,Monkey,fixation_nostop,fixation_canceled,fixation_noncanceled,target_nostop,target_canceled,target_noncanceled,postaction_early_nostop,postaction_early_canceled,postaction_early_noncanceled,postaction_late_nostop,postaction_late_canceled,postaction_late_noncanceled,tone_nostop,tone_canceled,tone_noncanceled
12,4,Euler,0.38348623853211,0.408450704225352,0.363636363636364,0.451376146788991,0.475352112676056,0.491978609625668,0.343119266055046,0.341549295774648,0.320855614973262,0.497247706422018,0.584507042253521,0.711229946524064,0.565137614678899,0.447183098591549,0.582887700534759
13,4,Euler,0.236697247706422,0.288732394366197,0.240641711229947,0.357798165137615,0.404929577464789,0.401069518716578,0.288073394495413,0.274647887323944,0.224598930481283,0.420183486238532,0.482394366197183,0.657754010695187,0.511926605504587,0.380281690140845,0.491978609625668
14,4,Euler,0.211009174311927,0.22887323943662,0.219251336898396,0.374311926605505,0.330985915492958,0.363636363636364,0.238532110091743,0.22887323943662,0.171122994652406,0.403669724770642,0.411971830985915,0.614973262032086,0.489908256880734,0.285211267605634,0.470588235294118
15,4,Euler,0.190825688073395,0.21830985915493,0.165775401069519,0.322935779816514,0.323943661971831,0.385026737967914,0.187155963302752,0.154929577464789,0.133689839572193,0.33394495412844,0.355633802816901,0.566844919786096,0.420183486238532,0.232394366197183,0.374331550802139
16,4,Euler,0.161467889908257,0.161971830985915,0.171122994652406,0.321100917431193,0.313380281690141,0.331550802139037,0.0954128440366973,0.137323943661972,0.112299465240642,0.260550458715596,0.295774647887324,0.481283422459893,0.372477064220184,0.169014084507042,0.27807486631016
17,4,Euler,0.143119266055046,0.126760563380282,0.155080213903743,0.223853211009174,0.214788732394366,0.213903743315508,0.055045871559633,0.102112676056338,0.0695187165775401,0.205504587155963,0.246478873239437,0.390374331550802,0.293577981651376,0.144366197183099,0.155080213903743
18,4,Euler,0.148623853211009,0.105633802816901,0.13903743315508,0.225688073394495,0.200704225352113,0.20855614973262,0.0678899082568807,0.0915492957746479,0.0962566844919786,0.174311926605505,0.214788732394366,0.390374331550802,0.269724770642202,0.112676056338028,0.165775401069519
19,4,Euler,0.128440366972477,0.126760563380282,0.144385026737968,0.163302752293578,0.176056338028169,0.176470588235294,0.0385321100917431,0.0950704225352113,0.0641711229946524,0.18348623853211,0.214788732394366,0.368983957219251,0.207339449541284,0.0985915492957746,0.149732620320856
20,4,Euler,0.106422018348624,0.0809859154929577,0.101604278074866,0.148623853211009,0.130281690140845,0.106951871657754,0.0220183486238532,0.0422535211267606,0.0481283422459893,0.115596330275229,0.133802816901408,0.288770053475936,0.196330275229358,0.0633802816901408,0.0909090909090909
21,4,Euler,0.110091743119266,0.0915492957746479,0.106951871657754,0.148623853211009,0.140845070422535,0.128342245989305,0.0165137614678899,0.0316901408450704,0.0427807486631016,0.122935779816514,0.119718309859155,0.299465240641711,0.196330275229358,0.0774647887323944,0.106951871657754
22,4,Euler,0.111926605504587,0.0809859154929577,0.128342245989305,0.122935779816514,0.130281690140845,0.128342245989305,0.0220183486238532,0.0352112676056338,0.0213903743315508,0.0862385321100917,0.144366197183099,0.288770053475936,0.176146788990826,0.0492957746478873,0.0909090909090909
23,4,Euler,0.128440366972477,0.0985915492957746,0.128342245989305,0.16697247706422,0.154929577464789,0.165775401069519,0.0238532110091743,0.0422535211267606,0.0427807486631016,0.0935779816513762,0.147887323943662,0.294117647058824,0.201834862385321,0.0669014084507042,0.0909090909090909
