channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
21,14,eulsef20120910c-01,AD37,1,1,p1,1,16,0,Euler,0.111641525369493,0.263097022236049,0.362937298520558,0.128817537540183,0.104812954550685,0.143367660961986,L6,Lower
22,14,eulsef20120910c-01,AD38,1,1,p1,1,17,0,Euler,0.0443032879582965,0.0851803743667819,0.370823342940356,0.359020236823676,0.084221354769529,0.0799332328509627,L6,Lower
6,15,eulsef20120911c-01,AD22,1,1,p1,1,1,0,Euler,0.347605010850455,0.81643855576228,0.0415050870784674,1.04204257001843,0.187962269018978,0.0874236451291479,L2,Upper
7,15,eulsef20120911c-01,AD23,1,1,p1,1,2,0,Euler,0.733481693208978,0.521469886902751,0.171018591873556,1.27283517364873,0.53334707449526,0.577746769870893,L2,Upper
8,15,eulsef20120911c-01,AD24,1,1,p1,1,3,0,Euler,1.13537526416514,0.34230476959345,0.190463677484784,0.817517803307574,0.252578872750314,0.44086718386548,L2,Upper
9,15,eulsef20120911c-01,AD25,1,1,p1,1,4,0,Euler,1.14267334540535,0.347637953219442,0.266181847417924,0.563856618522777,0.297202239149551,0.604966441044658,L2,Upper
10,15,eulsef20120911c-01,AD26,1,1,p1,1,5,0,Euler,0.969563677994851,0.463911341290507,0.114473832404519,0.830040224923095,0.13076449360814,0.25106727861235,L3,Upper
11,15,eulsef20120911c-01,AD27,1,1,p1,1,6,0,Euler,0.567300664593222,0.753905174839638,0.147612727154096,0.418476894121907,0.264228862793398,0.249929192474918,L3,Upper
12,15,eulsef20120911c-01,AD28,1,1,p1,1,7,0,Euler,0.145873411769449,0.85406351250703,0.32437893645597,0.117654920209269,0.173253937603604,0.381289302625733,L3,Upper
13,15,eulsef20120911c-01,AD29,1,1,p1,1,8,0,Euler,0.235769201982904,0.555577024037569,0.101965143540127,0.684722240668409,0.139201230457882,0.236259482218959,L3,Upper
14,15,eulsef20120911c-01,AD30,1,1,p1,1,9,0,Euler,0.449930461486962,0.801735589423426,0.432011813512144,0.338499998288274,0.0923735390632822,0.412106204801323,L5,Lower
