mean_burstTime_canceled,mean_burstTime_nostop,mean_burstTime_noncanceled,std_burstTime_canceled,std_burstTime_nostop,std_burstTime_noncanceled,sem_burstTime_canceled,sem_burstTime_nostop,sem_burstTime_noncanceled,mean_burstOnset_canceled,mean_burstOnset_nostop,mean_burstOnset_noncanceled,std_burstOnset_canceled,std_burstOnset_nostop,std_burstOnset_noncanceled,sem_burstOnset_canceled,sem_burstOnset_nostop,sem_burstOnset_noncanceled,mean_burstOffset_canceled,mean_burstOffset_nostop,mean_burstOffset_noncanceled,std_burstOffset_canceled,std_burstOffset_nostop,std_burstOffset_noncanceled,sem_burstOffset_canceled,sem_burstOffset_nostop,sem_burstOffset_noncanceled,mean_burstDuration_canceled,mean_burstDuration_nostop,mean_burstDuration_noncanceled,std_burstDuration_canceled,std_burstDuration_nostop,std_burstDuration_noncanceled,sem_burstDuration_canceled,sem_burstDuration_nostop,sem_burstDuration_noncanceled,mean_burstVolume_canceled,mean_burstVolume_nostop,mean_burstVolume_noncanceled,std_burstVolume_canceled,std_burstVolume_nostop,std_burstVolume_noncanceled,sem_burstVolume_canceled,sem_burstVolume_nostop,sem_burstVolume_noncanceled,mean_burstFreq_canceled,mean_burstFreq_nostop,mean_burstFreq_noncanceled,modal_burstFreq_canceled,modal_burstFreq_nostop,modal_burstFreq_noncanceled,pTrials_burst_canceled,pTrials_burst_nostop,pTrials_burst_noncanceled,monkey
40.4193548387097,40.28125,42.5,25.673298961565,25.1206564212056,31.001612861269,4.61106061401556,4.44074662582297,12.6563554522356,-150.612903225806,-182,-169.5,112.556853017887,137.47938261849,117.760349863611,20.215807581461,24.3031509307186,48.0754615162455,147.935483870968,125.4375,126.666666666667,91.7946750394128,54.2068544052884,67.7013047633992,16.4868103349034,9.58250858419282,27.6389419318307,298.548387096774,307.4375,296.166666666667,142.83459868199,169.148138452469,163.447137223834,25.653851236152,29.9014489312054,66.7270143528425,240938796146.66,157418882248.907,195009387386.306,199316290562.194,98546162020.3189,151968348086.595,35798262565.2793,17420664856.1189,62040818310.9696,21.258064516129,22.71875,20,15,29,15,0.0777027027027027,0.0612691466083151,0.0434782608695652,Euler
34.6071428571429,30.6153846153846,47,26.6768581715456,24.9288217500578,28.8905982400273,5.04145232017507,4.88894417517003,9.13600934033381,-164.178571428571,-124.5,-150.9,94.8000053021676,92.3481456229631,79.8365691758969,17.9155170226529,18.1109614067537,25.2465399169426,194.5,134.115384615385,186.2,204.57317806884,75.3043568052085,103.670203583822,38.6606967203059,14.7683994157043,32.7833968818228,358.678571428571,258.615384615385,337.1,233.742031525328,146.109295234239,125.448927190843,44.1730918827883,28.6543902891029,39.6704339947691,283664967287.77,168262968341.226,218944083667.122,431821990015.174,153293380373.938,96865872877.421,81606685444.9404,30063305301.2043,30631678583.2979,19.9285714285714,22.1153846153846,20.1,15,29,15,0.0810810810810811,0.0547045951859956,0.072463768115942,Euler
34.5833333333333,43.1724137931034,34.1111111111111,26.2763576185317,22.1811840555993,30.283842409957,7.58533107219108,4.11894247437195,10.0946141366523,-159.333333333333,-169.103448275862,-158.444444444444,75.8866778742348,144.074223140016,89.8222009181348,21.9065969492979,26.7539115885812,29.9407336393783,190.416666666667,140.034482758621,120.666666666667,89.6158045449709,67.5428344294095,53.8794951720968,25.8698544388419,12.5423894808058,17.9598317240323,349.75,309.137931034483,279.111111111111,120.820772596889,165.369224148771,137.661218616977,34.8779527912561,30.7082940023827,45.8870728723256,325222365739.879,165664704788.619,181954244597.647,292905696968.372,106632028510.861,135828820375.167,84554591495.9323,19801070594.8293,45276273458.389,19.5833333333333,20.0689655172414,21.6666666666667,15,15,19,0.0371621621621622,0.0568927789934354,0.0652173913043478,Euler
29.8,37.75,69,17.5676470314673,23.4819079292974,12.1928941054479,5.55537777493324,5.87047698232435,6.09644705272396,-159.7,-153.4375,-135.25,67.7709377240717,130.210070655076,83.6196747183341,21.4310522373494,32.5525176637691,41.809837359167,179.6,172.5625,113,97.5991803244269,84.5442438411195,50.0066662222815,30.863570759068,21.1360609602799,25.0033331111407,339.3,326,248.25,126.368992328903,149.982221168599,130.867299200373,39.9613841379678,37.4955552921499,65.4336496001866,301390424750.191,192202270149.216,99647937622.5288,228986879614.407,114742624520.867,23653738054.6131,72412009387.6305,28685656130.2168,11826869027.3066,21.1,19.4375,21.75,15,15,15,0.027027027027027,0.0328227571115974,0.0289855072463768,Euler
25.25,38.9375,42,20.6974965548098,22.7990314121748,29.3462092952395,5.9748526037354,5.6997578530437,11.9805397763762,-168.666666666667,-167.375,-126.5,90.4406719983612,101.683086105802,51.702030907886,26.1079731619722,25.4207715264506,21.1072657316543,168.583333333333,160.375,124.333333333333,96.3463999736305,83.7686297687466,58.7628000240515,27.8128099801135,20.9421574421866,23.9898126526889,337.25,327.75,250.833333333333,121.745729811245,159.085930658036,108.043355495221,35.1449649396049,39.7714826645089,44.1085151769033,305155731521.803,173755597865.047,117279964965.31,223677087021.277,105020283572.386,56036446499.7933,64570013201.6428,26255070893.0964,22876783487.2104,19.8333333333333,19.3125,20.5,15,15,15,0.0371621621621622,0.0328227571115974,0.0434782608695652,Euler
36.1818181818182,35.75,40.3333333333333,25.1070435607946,17.268882005338,34.5301800362137,7.57005846238765,6.10547178474241,19.9360087390742,-117,-160.25,-165.666666666667,48.577772694927,99.7393030426249,69.5868761573138,14.6467495618404,35.2631687661301,40.1760016814903,180.090909090909,160,135.666666666667,113.736937311899,47.4070519166566,54.1233159861195,34.2929768970676,16.7609239431653,31.2481110540212,297.090909090909,320.25,301.333333333333,127.523687639163,112.087657024058,122.36148631548,38.4498385255989,39.6289711845117,70.6454370626849,268466064813.524,172252438656.005,120211579747.735,178431176275.165,86114726250.3852,56490126671.7777,53799023873.3171,30446153445.8353,32614589840.5069,19.9090909090909,18.625,17,15,15,15,0.0337837837837838,0.0175054704595186,0.0217391304347826,Euler
45.3,41.7142857142857,NaN,29.7211110903419,26.2977456937173,NaN,9.39864056363709,9.93961359245655,NaN,-181.3,-122,NaN,127.258311232618,35.5527776692624,NaN,40.2426114681661,13.437686875777,NaN,163.5,146.571428571429,NaN,86.34588068409,49.4801547520389,NaN,27.3049649534862,18.7017406152694,NaN,344.8,268.571428571429,NaN,143.579478570813,79.0060274976054,NaN,45.4038177543108,29.8614715476849,NaN,289955162935.634,183979858827.516,NaN,242008420487.166,55969757557.0895,NaN,76529782167.92,21154579919.5196,NaN,17.4,19,NaN,15,15,NaN,0.0304054054054054,0.0153172866520788,0,Euler
35.4,32,44.5,25.4305153528416,14.142135623731,54.4472221513642,8.04183505868599,10,38.5,-176.9,-143.5,-137,133.070115185775,23.3345237791561,12.7279220613579,42.0804652488011,16.5,9,167.5,188.5,107.5,87.1668260036785,55.8614357137373,24.7487373415292,27.5645706579217,39.5,17.5,344.4,332,244.5,149.186088121141,32.5269119345812,37.476659402887,47.1767833673396,23,26.5,285873609032.493,257949881817.654,96601791678.8289,170667959239.216,156886277806.985,39054897491.4484,53969947480.8702,110935350912.436,27615982854.7487,19.5,18,18,15,15,15,0.0236486486486486,0.00437636761487965,0.0144927536231884,Euler
