data,layer_label,monkey_label
1.79487179487179,Upper,Euler
0.469483568075118,Upper,Euler
1.81818181818182,Upper,Euler
0.3690036900369,Upper,Euler
2.57575757575757,Upper,Euler
2.31671554252199,Upper,Euler
-0.772151898734176,Upper,Xena
-0.981067125645438,Upper,Xena
0.470588235294119,Upper,Xena
-0.271844660194175,Upper,Xena
-0.50080775444265,Upper,Xena
0.419947506561679,Upper,Xena
0.295358649789032,Upper,Xena
1.03746397694524,Upper,Xena
2.5,Upper,Xena
1.6030534351145,Upper,Xena
2.82051282051282,Lower,Euler
-0.422535211267605,Lower,Euler
1.07744107744108,Lower,Euler
-0.701107011070111,Lower,Euler
1.43939393939394,Lower,Euler
0.93841642228739,Lower,Euler
-0.0126582278481009,Lower,Xena
-0.0172117039586919,Lower,Xena
0.319327731092439,Lower,Xena
0.310679611650485,Lower,Xena
-0.904684975767367,Lower,Xena
-0.89238845144357,Lower,Xena
-2.23628691983123,Lower,Xena
1.18155619596542,Lower,Xena
1.33116883116883,Lower,Xena
0.101781170483461,Lower,Xena
3.33333333333333,All,Euler
0.422535211267608,All,Euler
2.49158249158249,All,Euler
0.258302583025832,All,Euler
3.25757575757576,All,Euler
3.40175953079179,All,Euler
-0.329113924050633,All,Xena
-0.619621342512909,All,Xena
0.638655462184873,All,Xena
-0.174757281553397,All,Xena
-0.840064620355413,All,Xena
-0.131233595800524,All,Xena
-2.10970464135021,All,Xena
1.21037463976945,All,Xena
2.5974025974026,All,Xena
1.11959287531806,All,Xena
