session,monkey,baseline_canceled,baseline_noncanc,baseline_nostop,ssd_canceled,ssd_noncanc,ssd_nostop
1,Euler,0,0,0,0,0,0
1,Euler,0,0,0,0,0,0
1,Euler,0,0,0,0,0,0
1,Euler,0,0,0,0,0,0
1,Euler,0.0755555555555556,0.119617224880383,0.117764471057884,0.0533333333333333,0.0574162679425837,0.0958083832335329
1,Euler,0.111111111111111,0.138755980861244,0.137724550898204,0.0222222222222222,0.0382775119617225,0.0479041916167665
1,Euler,0.182222222222222,0.15311004784689,0.165668662674651,0.04,0.0334928229665072,0.0279441117764471
1,Euler,0.244444444444444,0.253588516746411,0.25748502994012,0.115555555555556,0.0861244019138756,0.117764471057884
1,Euler,0.328888888888889,0.282296650717703,0.317365269461078,0.208888888888889,0.138755980861244,0.181636726546906
1,Euler,0.293333333333333,0.253588516746411,0.293413173652695,0.213333333333333,0.124401913875598,0.17564870259481
1,Euler,0.28,0.277511961722488,0.293413173652695,0.226666666666667,0.148325358851675,0.213572854291417
1,Euler,0.284444444444444,0.239234449760766,0.263473053892216,0.208888888888889,0.138755980861244,0.17564870259481
1,Euler,0.404444444444444,0.358851674641148,0.36127744510978,0.222222222222222,0.258373205741627,0.263473053892216
1,Euler,0.386666666666667,0.406698564593301,0.3812375249501,0.284444444444444,0.258373205741627,0.265469061876248
1,Euler,0.351111111111111,0.30622009569378,0.347305389221557,0.222222222222222,0.186602870813397,0.219560878243513
1,Euler,0.244444444444444,0.200956937799043,0.219560878243513,0.186666666666667,0.129186602870813,0.193612774451098
1,Euler,0.222222222222222,0.191387559808612,0.213572854291417,0.195555555555556,0.143540669856459,0.179640718562874
1,Euler,0.208888888888889,0.181818181818182,0.199600798403194,0.208888888888889,0.0956937799043062,0.121756487025948
1,Euler,0.146666666666667,0.129186602870813,0.139720558882236,0.155555555555556,0.0813397129186603,0.0998003992015968
1,Euler,0.111111111111111,0.129186602870813,0.129740518962076,0.128888888888889,0.0526315789473684,0.0858283433133733
2,Euler,0.0441176470588235,0.041958041958042,0.0515222482435597,0.0147058823529412,0.041958041958042,0.0234192037470726
2,Euler,0.0931372549019608,0.0839160839160839,0.110070257611241,0.0147058823529412,0.00699300699300699,0.0234192037470726
2,Euler,0.166666666666667,0.202797202797203,0.229508196721311,0.0931372549019608,0.0559440559440559,0.0796252927400468
2,Euler,0.240196078431373,0.258741258741259,0.234192037470726,0.205882352941176,0.104895104895105,0.152224824355972
2,Euler,0.230392156862745,0.195804195804196,0.208430913348946,0.215686274509804,0.0979020979020979,0.175644028103044
